price_per_sqft,property_type,property_year,home_style,description,beds,bath,sqft,lotsize,property_id
$382,Single Family Home,1942,1942,"Luxury living, incomparable style and charm will take your breath away with this magnificent
            Nakoma home...the home that everyone in the neighborhood raves about! Maybe it's the tremendous curb appeal
            with 300' of street frontage or the spectacular landscaping and huge lot it sits on. Maybe its because it is
            set atop a hill and meticulously maintained. Or it could be because this sprawling colonial home offers
            professional design throughout with high-end finishes and attention to detail. Professionally decorated by a
            well known area designer, homes like this don't come on the market very often. Updated with modern
            technology throughout the home allowing for endless entertaining possibilities.
        ",4,2.5+,"3,276",0.26,101
$223,Single Family Home,2020,2020,"Ready 12/01/2020! Get the peace of mind that comes with award-winning, quality craftsmanship
            & energy efficiency that can only be found in a Veridian home. On average, a Focus On Energy & Green
            Built certified Veridian home is 70% more energy efficient than a typical used home! Even more, all Veridian
            homes come fully loaded with custom features & the best brands, like Auburn Ridge cabinetry & Kohler
            plumbing fixtures. To top it off, they even come with a comprehensive warranty backed by a full service
            team.
        ",3,2.5,"1,880","6,970",102
$243,Single Family Home,1952,1952,"First time on the market in 15 years, this handsome bungalow is loaded with quality charm. A
            large, sunny living room opens to the kitchen with hand-made custom oak cabinets, breakfast bar and
            stainless-steel appliances. The bedrooms are large with plenty of windows. New cabinets and a tiled shower
            in the bath. The kitchen window overlooks a stunning deck with a stripped awning and a backyard of perennial
            flowers surrounded by a privacy fence. You'll be drawn to the deck to enjoy the serenity and scenery. List
            of updates include roof and windows in 2010, water heater and Carrier furnace and A/C in 2016, GE
            Refrigerator, Dishwasher and Double Oven in 2018, and finally an over the range Microwave in 2020. When you
            look up ""move-in ready"" in the dictionary, there's a picture of this home!
        ",2,1,760,"5,227",103
$147,Condo/Townhome/Row Home/Co-Op,1970,1970,"New Carpet.Great opportunity to live in Monona. Grade & high school in Monona School
            district. Roof replaced in 2006, new windows and deck in 2011. Walking distance to many parks, library &
            pool.
        ",3,1.5,"1,362",,104
$160,Condo/Townhome/Row Home/Co-Op,1984,1984,"In a quiet park-like setting well off of Gammon Road and bordering a nature conservancy,
            Coach Lite is a one of a kind condo development convenient to everything. This well-remodeled second floor
            condo features a large open living area with a living room open to a small private deck, large dining room,
            plenty of closet storage, and a lovely kitchen with great breakfast bar and plenty of counter space. Updates
            include 2 full baths that have been completely remodeled with granite tops and tile floors, newer flooring
            and paint, and updated kitchen. The owner's suite is very spacious and there are two good-sized closets, one
            with standard sized washer/dryer as well as a full remodeled bath.In-wall A/C unit, 2 parking spaces
            included and one storage unit. Pets:2 cats, caged bird, fish.
        ",2,2,938,,105
$177,Condo/Townhome/Row Home/Co-Op,2004,2004,"Stunning 3BR/2.5BA townhouse has been completely rebuilt and polished off with modern, fresh
            finishes. Nestled on the Greystone Condominiums in Middleton, with easy access to parks, dining and
            shopping. Part of the desirable Middleton-Cross Plains School District! Gorgeous quartz countertops
            compliment the crisp white cabinetry, and are completed w/ SS appliances and large breakfast bar. Open
            concept floor plan is an entertainer's delight! Windows ft high quality bali shades, allow for natural light
            to stream in throughout the day. Private master suite is a unique private loft, ft. relaxing walk-in shower,
            and an abundance of closet space. Enjoy a fall evening on the balcony or a cozy winter night by the stone
            surrounded gas fireplace.
        ",3,2.5,"1,866",,106
$136,Condo/Townhome/Row Home/Co-Op,1998,1998,"Rare opportunity to own in Westminster Gardens! This spacious, quality-built first floor
            corner condo w/private patio overlooks a courtyard & is filled with natural light from every angle! The
            1-story floor plan features incredible 9 ft ceilings, solid wood doors & beautiful trim woodwork
            throughout. The updated kitchen has granite countertops & stainless steel appliances, plus a sunny
            breakfast nook & lots of cabinets & counter space! Open living room w/gas fireplace, large bedrooms
            & impressive walk-in closets throughout - tons of storage space everywhere! Bonus office space w/ french
            doors & an in-unit laundry room! Easy maintenance- no carpeting! Well-run condo association in popular
            Richmond Hills! Two heated underground spaces plus storage closet & elevator to lobby.
        ",2,2,"1,833",,107
$192,Single Family Home,2003,2003,"Come in, relax and take a look around...Beautiful 2 story Contemporary home in Hawks Woods!
            Spacious layout with vaulted ceilings and cozy loft area! Welcoming living room with gas fireplace. Enjoy
            the open kitchen and dining that is great for entertaining with easy access to the large deck surrounded by
            mature landscaping with plenty of privacy. First floor Bedroom Suite includes walk in closet and full
            private bath. Main floor laundry. Upper floor boasts 2 spacious bedrooms as well as a lovely open loft area.
            Plentiful storage throughout as well as an exposed, unfinished lower level for future growth which is
            plumbed for an additional full bathroom! Limited UHP Home Warranty included.
        ",3,2.5,"1,740","7,405",108
$163,Single Family Home,1994,1994,"WELCOME HOME!! Sun-filled 4 Bedroom & 2 Bath Tri-Level w/2-Car Insulated Garage on a
            Dead-End Street! Walk into your Spacious Kitchen w/Pantry that opens to a Dining Area w/Vaulted Ceilings!
            Great Room w/Vaulted Ceilings & Patio Door that leads to Deck Overlooking Fenced-in Yard! Master Bedroom
            w/2 Closets! Family Room w/Gas Fireplace in Walk-Out Lower Level! Plenty of Storage Space! Convenient
            Location! All Kitchen Appliances Included! NEW Roof Approximately 2014!
        ",4,2,"1,628","8,712",109
$256,Single Family Home,1924,1924,"Accepted Offer with Bump Clause.Welcome home to a charming, well-loved bungalow in Emerson
            East. Gleaming hardwood floors, updated windows in living room/kitchen and white farmhouse cabinets (moved
            from the family's actual farm!) in kitchen to add to the charm. Enjoy your morning coffee, or set up a
            hammock on your spacious front porch and watch sunsets from your back deck. Loads of storage in garage/shed
            and basement and a fenced in yard for Fido. Bonus finished room in basement. Close to downtown, schools and
            parks. Home is being sold as-is by personal rep.
        ",2,1,724,"5,663",110
$147,Condo/Townhome/Row Home/Co-Op,1970,1970,"Great opportunity to live in Monona. Grade & High School in Monona School District. Roof
            replaced in 2006, new windows and deck in 2011. Walking distance to many parks, library and pool.
        ",3,1.5,"1,362",0.24,111
$270,Single Family Home,1941,1941,"New Nakoma Listing! Wait till you see this charming and cozy 2 bedroom 2 bath Ranch home
            nestled on a gorgeous wooded lot! You will love entertaining in this bright and open living and dining room
            area with wood burning fireplace. Kitchen has great storage, granite counter tops, under cabinet lighting,
            stainless steel appliances, with gas range and hood fan. Both bathrooms have been updated. Master bath has
            beautiful double vanity, whirl pool tub, and tiled walk in shower. Fenced in area of the yard is perfect dog
            run or kids play area. Finished Rec Room in exposed LL with second wood burning fireplace. Tons of storage,
            work bench area, and laundry in unfinished LL area. Relax and enjoy your two tiered deck over looking your
            quiet backyard. Located near bike paths, UW Campus & Arboretum.
        ",2,2,"1,628","9,148",112
$119,Single Family Home,2006,2006,"This beautiful home, located in a great neighborhood, within walking distance to a park,
            Great Dane East, Metro Market, and coffee shops is an incredible ownership opportunity you will not want to
            miss! Upon entering, you will instantly be greeted by all the natural light filtering through the windows
            helping to create an inviting atmosphere you will love coming home to! Let your inner chef shine in the open
            concept kitchen and dining room, perfect for entertaining your guests. The finished basement offers you a
            spacious family room, full bathroom, and additional private rec room that could easily be used as a home
            office space. The second floor features all bedrooms including your spacious master with a walk-in closet
            and en-suite. Come see all the potential this home offers you, today!
        ",3,3.5,"2,554","5,227",113
$114,Condo/Townhome/Row Home/Co-Op,1987,1987,"Hard-to-find 2 bedroom 1.5 bath end unit townhouse in Stanton Square! Convenient east side
            neighborhood off Cottage Grove Road close to restaurants and shopping with easy access to downtown. Main
            level has open living/dining room with breakfast bar, galley kitchen with all appliances included, and
            powder room. Two large bedrooms upstairs, one with walk-in closet, plus full bath and oversized tub.
            Partially finished lower level den/office. 1 car attached garage. Very well-managed condo association with
            low condo fees. A great value!
        ",2,1.5,"1,225",,114
$137,Condo/Townhome/Row Home/Co-Op,1979,1979,"Welcome home to this great 2 bedroom, 1 1/2 bath condo in the heart of the Cherokee
            community with 2 outdoor pools and clubhouse! Overlooking the beautiful landscaping that Cherokee is known
            for, the unit has been recently professionally clean and has new carpet throughout and offers lots of
            storage. All you have to do is move in! Condo fees include heat, hot water, water and sewer. This unit
            includes 2 parking spots #18 and #20, the storage is #F.
        ",2,1.5,"1,230",,115
$148,Single Family Home,1960,1960,"Newly finished hardwood floor s and an abundance of natural light make this 3 bedroom 2 bath
            east side ranch home a must see. Private backyard makes an amazing sanctuary for morning coffee or evening
            gatherings around a fire. You are walking distance to many shops and restaurants including Willy Street
            Co-op. On bus line and just a short ride to downtown. Two large cedar closets and lots of other storage.
            Home is being sold as is .
        ",3,2,"1,516","8,276",116
$76,Single Family Home,1959,1959,"Fire damaged house. Selling as is. No electricity or running water. Extreme care should be
            taken during showings. Garage is not damaged. Good project for the experienced remodeler.
        ",3,2,"1,642",0.24,117
$178,Condo/Townhome/Row Home/Co-Op,2006,2006,"Meticulously cared for westside home in Kettle Ridge Condominium. 2 bedroom 2.5 half bath
            floor plan with lofted second bedroom. Open concept main living area with vaulted ceilings and gas fireplace
            connects to a private deck. Lofted level has an alcove that makes a great home office space. Private
            entrance and attached two car garage with wiring in place for an electric vehicle charging station. New roof
            (2017) & refrigerator (2020). Location offers easy access to West Madison, Middleton, Verona, Beltline,
            Epic and adjacent to the Ice Age Trail.
        ",2,2.5,"1,512",,118
$156,Condo/Townhome/Row Home/Co-Op,1978,1978,"Comfortable 2nd floor condo w/new finishes installed early 2020. Brand new luxury vinyl
            flooring, new carpet installed w/extra padding, new garbage disposal & recently painted! Enjoy your view
            of the courtyard from the spacious balcony & situated on a sloped lot allowing no step access from the
            front entrance. Inside you'll love the cozy living room, dining room, large Master bedroom & in-unit
            laundry. Detached garage included w/electrical & seller added built-in shelving. Plus an exercise room,
            sauna & outdoor pool connected by walking paths! Heat & water are included in your low condo fee!
            Conveniently located to shopping, dining, entertainment & bus stop. This one has everything you need to
            make it your home! A great way to start ownership & build equity!
        ",1,1,680,,119
$118,Single Family Home,2000,2000,"Very well-maintained 4 bedroom colonial across from Richmond Hill Park! Main level boasts
            open concept kitchen with island breakfast bar, planning desk, and walk-through butler's pantry to formal
            dining. Main level family room with gas fireplace and den/office. All bedrooms upstairs including master
            suite with walk-in closet and private full bath with double vanity. Finished lower level exercise room and
            rec/media room (no carpet) ready for your finishing touches. Other features include dual furnaces, 3 car
            finished heated garage and deck/patio overlooking the fenced backyard. Convenient location near parks,
            grocery, restaurants and more! Move-in ready!
        ",4,2.5+,"3,681",0.28,120
$252,Single Family Home,2001,2001,"Showings to start with open house Sunday 9/27/2020 at noon. Open house will be managed
            safely to assure distancing. METICULOUSLY MAINTAINED ranch style home with Main level offering 3 bedrooms,
            including an ensuite bath in owner's suite. Beautiful yard has plenty of room to grill, have a firepit and
            enjoy the outdoors. Step outside right from your kitchen to a flat nicely landscaped, spacious backyard with
            gorgeous low maintenance deck. Wonderful location in a quiet neighborhood on Madison's southwest side w/in
            walking distance to parks, shopping, dining & entertainment. Minutes from Fitchburg!
        ",3,2,"1,245","6,970",121
$164,Single Family Home,2005,2005,"Beautiful natural lighting throughout! Offering so many wonderful features such as spacious
            living room w/gas fireplace & vaulted ceiling, hardwoods, eat in kitchen w/breakfast bar, solid surface
            countertops, stainless steel appliances & main floor laundry. The beautiful primary suite includes bath
            w/linen storage and fantastic walk in closet. 2 additional bedrooms & full bath complete the main floor.
            Recently completed, you'll love the well thought out lower level. Built in desk/bookshelves, nook for game
            area or study, great room, full bath, remaining 4th & 5th bedrooms, ample storage & gorgeous cork
            flooring allow this home to meet every need. Close proximity to the neighborhood park & Pope Farm
            Elementary School make this house one to call your home!
        ",5,3,"2,685","8,276",122
$158,Single Family Home,2000,2000,"Beautifully appointed 4 bedroom, 2 bath home in nice neighborhood! The Kitchen/Dining Area
            has newer floors, stone counters, subway tile backsplash and patio door that leads to a multi-level deck
            overlooking the nice backyard. Wood floors through a good portion of the house. Upstairs, the Master Bedroom
            has a walk in closet, a charming bathroom has a newer dual vanity and tile floors, and the second bedroom.
            The partially exposed downstairs family room has a gas fireplace and plenty of room for a future
            entertaining/bar area! Also downstairs are two more bedrooms and a full bathroom. The lowest level of the
            house contains the laundry/utility room. Priced to sell so come make this house your home today!
        ",4,2,"1,855","7,841",123
$163,Single Family Home,1939,1939,"Great investment opportunity awaits in this 2-flat Cape Cod style home on Madison's popular
            near-east side within walking distance to multiple parks, dining, & more. The main floor features an
            eat-in kitchen, large living area, and 2 bedrooms with a full bath. Upstairs unit offers a private entrance
            in the rear of the home with a separate kitchen, living space, and large bedroom with it's own bathroom.
            Fenced-in yard with storage shed. Roof replaced approx.10 years ago. Furnace '19. Currently set up as
            2-flat, but could be converted back into single family residence.
        ",3,2,"1,224","3,920",124
$138,Single Family Home,1977,1977,"Completely updated two (2) story, four (4) bedroom, one and a half (1.5) bath in a quiet
            Jamestown Subdivision and close to Jamestown Park. This home features a spacious first floor with a living
            room, dining room and family room, kitchen with dining area. The family room has a brick fireplace. Kitchen
            has newer appliances. The second floor has four (4) bedrooms and full bath. The basement is partially
            finished. Well maintained and landscaped yard with a wood deck attached to the home in the back and a large
            concrete patio area.
        ",4,1.5,"2,020","6,534",125
$168,Single Family Home,2007,2007,"Meticulously maintained and cared for, turn key, move-in ready, open concept home. Well
            appointed and laid out home with open kitchen and large living room complete with vaulted ceilings on the
            main floor, with excellent additional family room downstairs. Three bedrooms up with two closets in the main
            bedroom and a fenced yard. Nothing needed except a new owner. Appliances are included, Dishwasher is brand
            new and furnishings are negotiable. Don't miss is move-in ready home minutes from the IL border.
        ",3,4,"1,424","5,663",126
$117,Single Family Home,1960,1960,"Location, Location, Location! Great split level ranch with three seasons room, large fenced
            in yard, and much more. Roof and Pella skylights installed 11/2004, A/C installed 9/2011, Furnace installed
            11/2019.
        ",3,2,"1,428","9,148",127
$139,Single Family Home,1994,1994,"This ranch style is the Perfect home to start home ownership, or to size down when only one
            level is desired. Clean and ready for move in, with 3 bedrooms and 2 full baths, also a 2 car attached
            garage.
        ",3,2,"1,288","8,712",128
$97,Single Family Home,1989,1989,"This mostly rehabbed handyman special is just needing your finishing touches. Come see this
            sprawling 3 bedroom, 3 full bath ranch that sits on over half an acre, 2.5 car attached garage with shop
            area. Spend summer nights on your patio or deck and winter nights next to the fireplace. Most of the work
            has already been done, new roof, new floors, fresh paint, and updated kitchen. Some work still needed but a
            great opportunity for the handy buyer!
        ",3,3,"2,061",0.59,129
$133,Single Family Home,1949,1949,"Charming Cape Code with over 1600 square feet featuring four large bedrooms, two full
            bathooms, and updated flooring throughout. Enjoy your days on either the large front porch or the privacy of
            your fenced in backyard.
        ",4,2,"1,617","9,148",130
$166,Single Family Home,1987,1987,"This updated, one owner home, is ready for you to move in! This location in Pleasant Prairie
            is perfect for the commuter, convenient to shopping, restaurants, schools and nature trails. On a cul de
            sac, with an incredible 1/2 acre lot, against a wooded conservancy, it evokes feelings of being on vacation
            in your own backyard! The home has large sunny windows, natural fireplace, and an updated kitchen with room
            to gather! 3 bedrooms with large closets, many built ins, new skylight, Jack and Jill bath and more complete
            the upper level. New roof, hardware, lighting, 6 panel doors, renovated kitchen with solid surface
            countertops. Completed full bath in the lower level. Call to tour this move in ready home, we are certain
            you will love this home! Road construction is to be done October
        ",3,2.5,"1,988",0.4,131
$107,Single Family Home,1920,1920,"Almost 1/2 acre to enjoy the quiet, and outdoor living. A rural setting, yet close to I-94
            for easy commuting. This deceivingly large ranch home has a huge living room with an 8 year new, custom
            brick & stone wood burning fireplace with a gas starter, over-sized kitchen & dining area with
            numerous possibilities, in addition to the 3 bedrooms, 1 1/2 baths, plus an enclosed 3 season room at the
            front of the home, along with a 1st floor laundry room. A full, unfinished basement with exterior access.
            Furnace is 1 year old. Interior freshly painted. Somers low taxes, and easy access to all amenities.
        ",3,1.5,"1,500",0.47,132
$218,Single Family Home,1966,1966,"THIS IS THE PERFECT HOME TO SHARE WITH EXTENDED FAMILY OR TO QUARANTINE COMFORTABLY WITH (OR
            FROM) YOUR LOVED ONES! UPPER LEVEL IS SEMI OPEN CONCEPT WITH NEW CARPET IN LIVING ROOM, HALL AND MASTER
            BEDROOM. SOME WINDOWS HAVE BEEN CHANGED OUT FOR NEW. RELAX IN THE WALK-IN JETTED TUB. THIS HOME IS ALMOST
            WORRY FREE WITH WATER HEATER ONLY 3 YRS OLD, ROOF ONLY 10, BOTH ENTRANCE AND STORM DOORS ARE NEW. THIS HOME
            HAS TWO FULL KITCHENS, TWO FULL BATHS, AND LARGE FAMILY ROOM WITH A SOUND PROOF BONUS ROOM ON LOWER LEVEL.
            SUMP PUMP IS FAIRLY NEW. ALL CARPET IN LOWER LEVEL IS HIGH QUALITY, MOLD/MILDEW RESISTANT. COMPLETELY FENCED
            IN YARD THAT HAS BEEN WELL MAINTAINED WITH A BRAND NEW LARGE DECK AND PATIO AREA READY FOR THOSE OUTDOOR GET
            TOGETHERS AND PARTIES. Call Agent or Office for showing
        ",3,2,"1,008","7,841",133
$153,Single Family Home,1992,1992,"Treasure in Trevor WITH WATER VIEWS AND WATER RIGHTS TO CAMP LAKE! Four-bedroom, Fenced
            yard, 2-bath raised ranch with views of Camp Lake. Home sits on four lots on almost 1/2 acre! Oak trim
            Cathedral ceilings, Skylights, Open concept Kitchen boosts dining area and Island and large deck off dining
            room. Master bedroom with Master Bath. Georgeous gas stone fireplace in lower level. Brand new windows in
            upper and Bay. Enjoy the additional 2+ garage with attic for your toys or Man Cave Galore! HUGE BACK YARD
            with above ground pool and firepit for endless fun with family and friends! Lake access to Camp Lake boat
            launch & playground blocks away. Earnest money escrow agreement to Town and Country Title in docs. Great
            location for commuters.
        ",4,2,"1,958",0.46,134
$153,Single Family Home,1992,1992,"Treasure in Trevor WITH WATER VIEWS AND WATER RIGHTS TO CAMP LAKE! Four-bedroom, Fenced
            yard, 2-bath raised ranch with views of Camp Lake. Home sits on four lots on almost 1/2 acre! Oak trim
            Cathedral ceilings, Skylights, Open concept Kitchen boosts dining area and Island and large deck off dining
            room. Master bedroom with Master Bath. Georgeous gas stone fireplace in lower level. Brand new windows in
            upper and Bay. Enjoy the additional 2+ garage with attic for your toys or Man Cave Galore! HUGE BACK YARD
            with above ground pool and firepit for endless fun with family and friends! Lake access to Camp Lake boat
            launch & playground blocks away. Earnest money escrow agreement to Town and Country Title in docs. Great
            location for commuters.
        ",4,2,"1,958",0.46,135
$153,Single Family Home,1992,1992,"Treasure in Trevor WITH WATER VIEWS AND WATER RIGHTS TO CAMP LAKE! Four-bedroom, Fenced
            yard, 2-bath raised ranch with views of Camp Lake. Home sits on four lots on almost 1/2 acre! Oak trim
            Cathedral ceilings, Skylights, Open concept Kitchen boosts dining area and Island and large deck off dining
            room. Master bedroom with Master Bath. Georgeous gas stone fireplace in lower level. Brand new windows in
            upper and Bay. Enjoy the additional 2+ garage with attic for your toys or Man Cave Galore! HUGE BACK YARD
            with above ground pool and firepit for endless fun with family and friends! Lake access to Camp Lake boat
            launch & playground blocks away. Earnest money escrow agreement to Town and Country Title in docs. Great
            location for commuters.
        ",4,11,"1,958",0.46,136
$953,Condo/Townhome/Row Home/Co-Op,2011,2011,"Welcome to Sterling Park, built by renowned builder Classic Communities in 2011. This former
            model home is appointed with upgrades including hardwood flooring, designer carpet and is perfect for todays
            work-from-home needs with a built-in office center in the primary suite, while the triple-paned and double
            paned windows insulate virtually all outside noise. The great room is open & bright and boasts
            incredible ceiling height, espresso-hued wood floors, a balcony for fresh-air enjoyment, open chefs kitchen
            with breakfast/wine bar seating and stainless steel appliances. Primary suite is spacious & quiet and
            offers views of the West Hills. Central A/C system + fans attached to high-ceilings keep the interior
            enjoyable, and attached 2-car garage, inside laundry add to the appeal. HOA amenities include 2
            parks/playgrounds + club house. Easy access to Greer Park, Midtown Shopping, JCC, YCMA and daily
            conveniences in Palo Alto, Los Altos, and Mountain View. Excellent Palo Alto schools.
        ",3,2,"1,456",593,137
"$1,670",Single Family Home,1947,1947,"Charming 3 bedroom 2 bath home located in the desirable Green Acres neighborhood. Next to
            Juana Briones Park and across the street from Juana Briones Elementary school! The new flagstone walkway
            leads to the inviting front porch surrounded by lovely landscaped drought tolerant gardens. Freshly painted.
            Updated bathrooms and designer kitchen with a master suite addition including a walk-in closet and loft
            bedroom and views to the park. The square footage of the interior is approximately 1785 sq. ft. with the
            permitted addition. This does not include the bonus room approximately 200 sq. ft. (permits unknown).
            Situated on a rectangular 7815 sq. ft. lot per the City of Palo Alto parcel report. The backyard features a
            vegetable garden and drought tolerant plants.
        ",3,2,"1,646","7,740",138
"$1,746",Single Family Home,1957,1957,"Large open living spaces, Zoom rooms, zen-like back yard retreat - ideal stay at home living
            design! Spacious, updated Eichler on quiet, tree-lined street in friendly Palo Verde neighborhood. Five+
            bedrooms/three bathrooms including TWO master en suites and secluded dedicated office space. Freshly
            painted; new carpets; private, easy to maintain yards with fruit trees, spaces for edible gardening, a
            potting shed, multiple patios and sitting areas, and tranquil fountain.
        ",5,3,"1,715","8,625",139
"$1,752",Single Family Home,1954,1954,"The original owners have enjoyed this charming and well-kept property since 1954. Great
            starter home with tranquil setting, desirable Green Acres location, functional floor plan, hardwood floors
            throughout, newer windows and the roof was updated about 10 years ago. 3 bedrooms, 1 and half bath, 1420
            sq.ft on a large 7739 sq.ft lot (per county), the large family room could be your 4th bedroom. Full detached
            2 car garage with bonus workshop in back. Buyers will enjoy true convenience to top K-12 schools, major
            Silicon Valley Tech-employers (Google, Facebook, Tesla, Amazon, etc), bike path to Stanford, proximity to
            Downtown Palo Alto, VA hospital, Bol Park, San Antonio Shopping Center, CalTrain, Hwy 280 & 101. Top
            Rated Palo Alto Schools, Barron & Briones elementary, Fletcher Middle (the #2 ranked middle school in
            CA), and Gunn High (the #2 ranked high school in CA) (buyer to verify eligibility). Virtual tour:
        ",3,1.5,"1,420","7,739",140
"$2,495",Single Family Home,1924,1924,"Come and see this charming Two Bed Two Bath bungalow built in 1925. The rear bedroom has its
            own kitchenette. Separate one car detached garage. It has a large yard to add on to the existing house or
            build an Accessory Dwelling Unit. This home is a short two block walk to all the entertainment of California
            Street. Peers Park Playground, Sports Courts and Dog Park are all at the end of the Street. This is a rare
            opportunity in the Evergreen Park neighborhood; it was last on the market 40 years ago. Come and see it
            today.
        ",2,2,"1,080","7,500",141
"$1,229",Single Family Home,2019,2019,"New Construction - Never Lived in SFH. The perfect blend of modern and craftsman styles.
            Private Back Unit. Four Bedrooms with 3.5 Bathrooms. Open floorplan. Wide plant hardwood flooring
            throughout. Thermador Stainless Steel Appliances. Professional gas range, counter depth refrigerator.
            Calcutta Quartz Counters with a Stunning tiled backsplash. Vaulted ceilings in all bedrooms. Master plus
            additional en-suite. Master Features a Stall Shower plus Separate Tub. Designer touches everywhere. Crown
            Moulding. Solar ready, Pre-wired security system. Fire sprinklers. Tankless Water Heater. Paver Driveway,
            Two Car Finished attached garage. Short drive to University Avenue, Palo Alto downtown, Standford Shopping
            Center, Walk to nearby parks. Central Bay Area location. Easy access to commute arteries. Fabulous schools.
            Sq. Ft. reflects total building size. COVID-19 showing protocols. Virtual OH and Private Showing Available.
        ",4,3.5,"2,115","2,463",142
"$2,438",Multi-Family Home,1947,1947,,,,"3,276",0.49,143
$898,Condo/Townhome/Row Home/Co-Op,1980,1980,"Rare spacious, completely renovated single-level, 3-bedroom condo in the highly desirable
            Barron Square Community of Palo Alto. Designers kitchen with quartz countertops, tile backsplash, recess
            lighting and stainless steel appliances. Large living room looking out to private patio, perfect for
            entertaining and kids to play. Vaulted ceiling in Master bedroom, and a walk-in closet with organizers
            customly installed. Large laundry room with lots of storage space. 1 car garage with 1 assigned parking
            space, plus abundant road side parking. The community has a gated pool, tennis courts and a clubhouse.
            Outstanding Palo Alto schools. Enjoy the nearby shopping, dining, parks and the renowned Stanford U. Short
            commute to most major tech companies in Silicon Valley. Dont miss the chance to own your home in Palo Alto!
        ",3,2,"1,890",,144
"$1,618",Single Family Home,2017,2017,"Newer contemporary luxury home in Midtown with 5 bedrooms and 4.5 bathrooms on one level.
            Sleek open concept floor plan begins with dramatic high 12 foot ceilings in the living, dining and great
            room that presents contemporary sophistication and urban convenience. The tremendous great room opens
            through double sliding glass doors to a covered patio and inviting rear yard, great for entertaining.
            Flowing floor plan, full of natural light with plenty of tall windows and doors. Steps to El Carmelo
            elementary school, quick access to JLS Middle and Gunn High (buyers to verify). Relax and enjoy this one-of-
            a- kind residence. Other amenities include laundry room, one car garage and EVC.
        ",5,4.5,"2,656","7,102",145
"$1,426",Single Family Home,1955,1955,"LOCATION, LOCATION, perfect LOCATION most desirable home to raise family w/BEST Palo Alto
            Schools Fairmeadow, JLS, and Gunn High. This lovely move-in ready Single-Story home 1, 816sf has 5 beds 3
            baths w/BONUS den, perfect for multi-generation family, on quiet inner street. Just updated w/fresh paints,
            eat-in kitchen w/newer granite counter, electric range, hood fan, dish washer, furnace and brand new water
            heater. Refinished hardwood floor. Spacious living room w/ fireplace and dining opens to patio. 5th bedroom
            and BONUS den have endless possibilities such as office/study - perfect for Work-From-Home or Home-School.
            Large backyard with mature fruit trees. Garden view of backyard through kitchen windows. Large Car-Port for
            4. Beautiful Ramos & Mitchell parks, fantastic eats and shops nearby - all within short walks, priceless
            time-savings! Stanford and Major Tech Companies just moments away. It is such a rare opportunity. Call now,
            Act fast!
        ",5,3,"1,816","6,500",146
"$1,459",Single Family Home,1957,1957,"Newly updated, rarely available duplex in highly desirable Professorville location. Perfect
            for extended families, dual ownership or investment. First floor unit features 3 beds/2 baths with
            beautifully manicured gardens, private backyard & patio with room to entertain. Sun-filled 2 bed/1 bath
            unit upstairs with oversized deck ideal for outdoor entertainment. Each unit has separate one car garage
            with washer/dryer and built-in cabinets. Freshly painted interior and exterior. Walking distance to Town
            & Country, Stanford, Paly & Downtown. Top-rated schools (Addison Elementary, Greene Middle, Palo
            Alto High (buyer to verify availability).
        ",5,3,"1,895","5,615",147
"$1,205",Single Family Home,1935,1935,"Gorgeous, storybook craftsman style home in a wonderful court location, as featured in the
            NY Times! Owners expanded years ago, retaining the charm of the original construction. Formal entry with
            front door facing east. Lush landscaping and mature trees surround the home. Wonderful exposed beam, vaulted
            ceiling in living room with custom tiled fireplace. Large kitchen with island opens to a dining room or
            family room; either option is available for you. Three bedrooms downstairs and two bedrooms upstairs provide
            flexibility. Upstairs can be used as separate bedrooms or complete suite with attached home office. Inside
            laundry room, recessed lights, forced air heat. Ask listing agent about the extra features/private play
            space for hide and seek games!
        ",5,2,"2,241","5,780",148
"$2,438",Single Family Home,1947,1947,"An incredibly rare find in Palo Alto! Tremendous opportunity to build or invest on this
            +/-21, 318 sqft lot per Realist. This expansive property boasts four charming homes 1031, 1033, 1035, 1037
            Amarillo: three homes are 2 bedrooms + 1 bath and one home is 1 bedroom + 1 bath. Two of the homes have
            detached garages. The 1 bedroom home has an attached garage. All four homes have ample yard space to enjoy
            the beautiful outdoors. This is truly a rare opportunity to find a lot of this size in this highly desirable
            location. Nearby amenities include: Stanford University, Downtown Palo Alto, Town & Country Village,
            Greer Park and Midtown shopping. Top Palo Alto schools. Don't miss this unique opportunity for this
            one-of-a-kind property!
        ",7,4,"3,276",0.49,149
"$1,122",Condo/Townhome/Row Home/Co-Op,1982,1982,"Gorgeous remodeled Downtown Palo Alto penthouse condo! Enjoy this downtown luxury living
            with this exquisite gourmet kitchen featuring top of the line stainless steel appliances, granite counters,
            wine bar, custom all white cabinetry, & large counter and sitting spaces which is perfect for
            entertaining Wide plank cherry floors throughout all living areas Huge great room with wood burning
            fireplace is open and spacious with large sitting and dining areas Large Master Bedroom w/ mountains views,
            a designer remodeled bathroom, tall glass enclosures, and large closet Second master suite currently used as
            an office is a large bedroom with a remodeled guest bathroom Enjoy walking to Downtown Restaurants, Farmer's
            Market, Shops, Organic Markets, & Cal Trans Distinguished Top-Rated Palo Alto Schools Enjoy a heated
            pool/spa 1 covered garage space & extra storage Excellent A/C Club-room available for event Turnkey
            & ready to move into! Awesome and hip location for anyone to enjoy Palo Alto!
        ",2,1.5,"1,247",,150
