house_location,price,rooms,bedrooms,baths,levels,basement,garage,suburb,school_dist,mls,house_type,firm,firm_phone,agent,agent_phone,house_description,construction,heating,cooling,fireplace,gas,water,sewer,lot_dimensions,condo_level,hoa_fee,semiannual_taxes,bath_1_dimension,bath_1_level,bath_2_dimension,bath_2_level,bedroom_2_dimension,bedroom_2_level,bedroom_3_dimension,bedroom_3_level,dining_dimension,dining_level,family_dimension,family_level,kitchen_dimension,kitchen_level,laundry_dimension,laundry_level,living_dimension,living_level,master_dimension,master_level,directions,breakfast_dimension,breakfast_level,bath_3_dimension,bath_3_level,study_dimension,study_level,bedroom_4_dimension,bedroom_4_level,bedroom_5_dimension,bedroom_5_level,bath_4_dimension,bath_4_level,recreation_room_dimension,recreation_room_level
326 HOWARD,"$74,900 ",5,1,1-Jan,1 Story,Full,"1 Car (Detached,Rear)",LUDLOW,LUDLOW,250242,Single Family,HUFF REALTY,(606) 341-7400,PATTY COSLETT,(606) 341-7400,"*EX LOCATION*5RM COTTAGE W/1 CAR DET GARAGE*EAT-IN KIT & FORMAL DIN
RM*LG LIV RM W/FPL*POSS BEDRM ON 2ND FLR*BSMT HAS BEDRM SET-UP W/1/2
BATH*NEW GLASS BLOCK WINDOWS*KIT APPL STAY*EX CONDITION*GREAT
HOME*WON'T LAST LONG!*","Wood,Vinyl","Gas,Forced Air",Central Air,"Dummy,Brick",Natural,Public,Public,35X100,,0,$N/A,FULL,1,PART,L,,,,,12 X 12,1,,,12 X 10,1,,,20 X 11,1,13 X 10,1,SLEEPY HOLLOW TO R ON ADELA TO L ON HOWARD,,,,,,,,,,,,,,
539 LINDEN,"$71,900 ",5,2,Jan-00,1 Story,Crawl,1 Car (Detached),LUDLOW,LUDLOW,250161,Single Family,EQUITY MAX REALTORS,(606) 525-8900,JACQUELINE LAKE,(606) 525-8900,"TOO CUTE! GREAT STARTER HOME OR INVESTMENT, UPDATED & CHARMING.NEWER
SIDING WINDOWS, HEAT, & A/C. BATHROOM FEATURES 1ST FL LAUNDRY, PATIO
OFF KITCHEN, 1.5 CAR GARAGE FENCED YARD. A MUST SEE. CALL JACKIE LAKE
AT 802-6325.","Wood,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,25x125,,0,$0 ,FULL,1,,,9 X 10,1,,,9 X 14,1,,,9 X 12,1,,,14 X 14,1,10 X 14,1,ELM TO ADIELA TO R ON LINDEN,,,,,5 X 14,1,,,,,,,,
10877 ST. ANDREWS,"$142,900 ",4,1,1-Jan,1 Story,Full,1 Car (Attached),UNION,BOONE CO,246044,Condominium,FISCHER MANAGEMENT,(606) 341-4709,R. CASEY HUBER,(606) 341-4709,"NEW FISCHER ATTACHED HOME - NEWBURY WITH OPTION FINISHED LOWER LEVEL
FOUNDATION ONLY/OPTIONS AVAILABLE MODEL #606-384-3772","Brick,Alum","Electric,Heat Pump",Central Air,None,None,Public,Public,N/A,1,0,$0 ,PART,1,FULL,1,,,,,12 X 10,1,,,9 X 16,1,,1,15 X 25,1,13 X 13,1,UNION-OFF RICHWOOD EXIT CALL 384-3772 ANYTIME,,,,,,,,,,,,,,
331 LINDEN,"$69,900 ",6,3,1-Jan,3 Story,Part,None,LUDLOW,LUDLOW,247430,Single Family,RE/MAX AFFILIATES INC,(606) 341-0500,EUGENE WHITTLE,(606) 341-0500,"A/C WINDOW UNITS DO NOT STAY. 3 STORY-LARGE ROOMS-NEW ELE WIRING, NEW
PLUMBING-NEWER ROOF-NEWER CARPETING-NEWER STORM WINDOWS-KITCHEN NEWLY
REMODELED-ALL NATURAL WOODWORK-CEILING FANS.",Brick,"Gas,Forced Air",None,Inoperable,Natural,Public,Public,25 x 125,,0,$#,PART,1,FULL,1,18 X 12,2,15 X 15,3,16 X 16,1,,,15 X 13,1,10 X 9,1,20 X 14,1,18 X 15,2,"ELM ST (RT8) TO SOUTH ON ADELLA TO EAST ON
LINDEN",,,,,,,,,,,,,,
127 MONTCLAIR,"$69,900 ",6,2,Jan-00,1.5 Story,Full,1 Car (Detached),LUDLOW,LUDLOW,243974,Single Family,SIBCY-CLINE REALTORS INC,(606) 331-4444,GAYLE LIGHTNER,(606) 331-4444,"LARGE FINISHED AREA ON 2ND FL. COULD BE ADDL LIVING SPACE, CUTE &
COZY.THIS HOME COMES WITH ALL APPL. NEW SIDING, SOME NEWER WINDOWS,
NEWER HWH, ROOF 7 YRS, FURNACE 10 YRS. WELL MAINTAINED.","Wood,Vinyl","Gas,Forced Air",Window Unit,None,Natural,Public,Public,.,,0,$.,FULL,1,,,11 X 11,1,,,,,,,11 X 15,1,,,15 X 13,1,11 X 12,1,"RT 8 OR HIGHWAY AVE TO MONTROSE TO LEFT ON
MONTCLAIR",,,,,,,,,,,,,,
854 W OAK,"$54,900 ",4,2,Jan-00,1 Story,Full,None,LUDLOW,LUDLOW,250355,Single Family,HUFF REALTY,(606) 341-7400,PATTY COSLETT,(606) 341-7400,"* 4 RM COTTAGE * 2 BEDROOMS * GREAT FOR INVESTOR * FENCED YARD * ON
BUS LINE * GOOD CONDITION * PRICED TO SELL * CEILING FANS THROUGHOUT *
WON'T LAST *",Shingle,"Gas,Forced Air",Window Unit,Dummy,Natural,Public,Public,IRREGULAR,,0,$N/A,FULL,1,,,14 X 14,1,,,,,,,11 X 10,1,,,14 X 13,1,16 X 14,1,"DIXIE HWY TO L ON SLEEPY HOLLOW (TURNS INTO
DEVERILL) TO L ON OAK ST.",,,,,,,,,,,,,,
218 DEVERILL,"$49,000 ",3,1,Jan-00,1 Story,Part,(Detached),LUDLOW,LUDLOW,248011,Single Family,T.H.-1 REALTY L.L.C.,(606) 426-8700,"TOM HELSON, JR",(606) 426-8700,"TENANT OCCUPIED @$475/MO.1 YR LEASE. DETACHED GARAGE, 1 BEDRM, OFF ST
PARK, AGENTS CALL YOUR INVESTORS.LARGE DECK OFF KITCHEN.NEWER CONCRETE
WORK ON FRONT PORCH. CALL TOM AT 426-8700 ON LOCK BOX.",Vinyl,"Gas,Forced Air",Wall Unit,None,Natural,Public,Public,0,,0,$0 ,,,,,14 X 11,1,,,,,,,13 X 15,1,,,13 X 14,1,,,OAK STREET TO LEFT ON DEVERILL,,,,,,,,,,,,,,
241 GLENWOOD,"$46,500 ",4,2,Jan-00,1 Story,Full,None,LUDLOW,LUDLOW,248586,Single Family,HUFF REALTY,(606) 341-7400,KAREN CAMPBELL,(606) 341-7400,"* MAKE SURE YOU TAKE A LOOK AT THIS NICE COTTAGE IN LUDLOW BEFORE IT'S
GONE! * 2 BDRMS * 1 BATH * FENCED YARD * NICE FRONT PORCH * C/A * FULL
BASEMENT * PRICED BELOW $50,000! * LUDLOW SCHOOLS! * WOW! *",Alum,"Gas,Forced Air",Central Air,None,Natural,Public,Public,SEE PLAT,,0,$N/A,FULL,1,,,14 X 13,1,,,,,,,14 X 12,1,,,17 X 14,1,14 X 13,1,ELM TO BUTLER TO GLENWOOD,,,,,,,,,,,,,,
124 OAK,"$39,900 ",6,3,Jan-00,2 Story,Part,None,LUDLOW,LUDLOW,244197,Single Family,CENTURY 21 GOLD SERVICES,(606) 344-9700,WILLIAM HAUSER,(606) 344-9700,"SPACIOUS HOME READY FOR IMMEDIATE OCCUPANCY THIS HOME NEEDS SOME WORK
BUT IT IS PRICED TO REFLECT THIS FACT VERY CONVENIENT LOCATION YET
THIS HOME OFFERS A LEVEL OF PRIVACY SOME REPLACEMENT WINDOWS A GOOD
VALUE IN LUDLOW",Alum,"Gas,Forced Air",None,None,Natural,Public,Public,50x43,,0,$0 ,FULL,1,,,15 X 14,2,15 X 12,2,20 X 12,1,,,15 X 12,1,,1,15 X 14,1,19 X 12,2,ELM ST TO SOUTH ON CARNEAL TO LEFT ON OAK,,,,,,,,,,,,,,
28 EUCLID,"$34,900 ",5,2,Feb-00,2 Story,Full,None,LUDLOW,LUDLOW,244435,Single Family,STAR ONE REALTORS,(606) 344-8700,JERRY EGAN,(606) 344-8700,"NICE HOME FOR FIRST-TIME BUYER OR INVESTER WHO HAS THE ABILITY TO DO
REHAB WORK. LARGE ROOMS AND 9FT. CEILINGS. LOW MAINTANENCE BRICK
EXTERIOR. FRONT PORCH. EAT-IN KITCHEN.",Brick,"Gas,Forced Air",None,Inoperable,Natural,Public,Public,25 X 100,,0,$0 ,FULL,1,FULL,2,16 X 14,2,,,15 X 14,1,,,15 X 13,1,,,15 X 14,1,16 X 16,2,ELM STREET TO NORTH ON EUCLID,,,,,,,,,,,,,,
3704 SIGMA CT,"$97,900 ",6,3,1-Jan,Tri-Level,Part,"1 Car (Attached,Oversized)",ERL,LLOYD,250367,Single Family,EQUITY MAX REALTORS,(606) 525-8900,ELIZABETH JONES,(606) 525-8900,"BACKS UP TO WOODLAND HILLS/UPSCALE, MINT, BEAUTIFUL & SQUEAKY CLEAN!!
LOTS OF NEW & NEWER THRU OUT/BACK YARD IS A DREAM/GARAGE IS
OVERSIZED-EXTRA LONG LOVELY HW FLOORING/EXTREMELY WELL CARED FOR HOME.
BETH 525-8799 / 525-8900","Brick,Vinyl","Gas,Forced Air",Central Air,None,Natural,Public,Public,large,,0,$0 ,FULL,2,PART,L,12 X 9,2,10 X 8,2,,,14 X 14,L,16 X 10,1,13 X 9,L,15 X 14,1,13 X 10,2,"TURKEYFOOT TO WOODLAND HILLS DR R-LAMBDA /
R-SIGMA CT",,,,,,,,,,,,,,
3006 KITTER LANE,"$280,000 ",8,4,1-Feb,2 Story,Full,"2 Cars (Builtin,Front,Oversized,Heated)",NONE,MASON CO.,245415,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,BARBARA REYNOLDS,(606) 564-7653,"NEW 2 STORY LOG CABIN. IN PRIVATE LOG CABIN-RUSTIC SUBD. MUST SEE!
VIEWS, TREES AND PRIVATE. FULL BSMT. IDEAL FAMILY RM. IN BSMT. LG.
FAMILY KITCHEN WITH VIEWS. MBR. DOWNSTAIRS. LG. VAULTED CEILING LR.
W/FIREPLACE & VIEWS.","Wood,Log","Electric,Heat Pump",Central Air,"Wood,Insert",None,Public,Septic,256x300,,0,$NONE,FULL,1,FULL,2,12 X 14,2,12 X 12,2,13 X 10,1,,,12 X 18,,6 X 6,1,28 X 13,1,18 X 22,1,"CALL L.A. FOR DIRECTIONS. AA HWY TO MAYSVILLE,
OFF OF PICKET LN.",,,,,12 X 11,1,12 X 12,2,,,,,,
0 HWY 68,"$279,000 ",6,3,Jan-00,2 Story,None,2 Cars (Detached),LEE'S CREEK,MASON CO.,248445,Farms,STAR ONE REALTORS,(606) 344-8700,JEFF DAVIS,(606) 344-8700,"ADDL.PHOTOS WWW.STAR-ONE.COM*VALUE IS IN THE LAND. 2 TOBACCO BARNS, 4
PONDS LEE'S CREEK RUNS LENGTH OF PROPERTY, 241 TON SILO, 2
CISTERNS,DBL CORN CRIB 2 CAR GAR,2 OLD HOUSES W/HISTORICAL
PROPERTIES.HOUSES MAY NOT BE RESTORABLE",Wood,Oil,None,None,None,Cistern,None,IRREGULAR,,0,$0 ,,,,,,,,,,,,,,,,,,,,,"AA HWY TO 68 TURN RIGHT FARM IS APPROX 7.6 MILES
ON R. WATCH FOR STAR ONE SIGNS",,,,,,,,,,,,,,
10836 DORAL CT,"$127,900 ",6,2,Feb-00,1 Story,Full,"2 Cars (Attached,Front,Oversized)",-,BOONE CO,248383,Condominium,HUFF REALTY,(606) 525-7900,DEBRA DIXON,(606) 525-7900,"WWW.HUFF.COM * SHOWS LIKE MODEL 'CHESAPEAKE' *PROFESSIONALLY DECORATED
* LOWER LEVEL FAMILY RM * WBFP * BERBER CARPET * ALL THE BEST UPGRADED
APPLICANCES * MUST SEE WHIRLPOOL MASTER *","Brick,Vinyl","Electric,Heat Pump",Central Air,Wood,None,Public,Public,-,,80,$NA,FULL,1,FULL,L,11 X 10,1,,,10 X 9,1,20 X 14,L,10 X 8,1,,L,18 X 13,1,15 X 12,1,"I-75 SO TO RICHWOOD EXIT TURN R TO R INTO
TRIPLE CROWN L ON TURNBERRY L DORAL CT",,,,,,,,,,,,,,
3658 W MARY INGLES HW,"$105,000 ",10,3,Jan-00,2 Story,None,(Detached),DOVER,MASON CO.,245633,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,BARBARA REYNOLDS,(606) 564-7653,"WONDERFULL HISTORIC HOME.THE ARTHUR FOX JR.HOME.ORIGINAL LOG SEC.BUILT
1789 SOME UPDATING IN 1996. 2 CISTERNS. WIRING UPDATE-SOME.ROOF
PAINTED IN 1993. NORTH WING REPLACED AFTER 1968 TORNADO,PROP.SELLS AS
IS.W/NO WARRANTIES.","Brick,Vinyl,Log",,None,Inoperable,Propane,Cistern,None,0,,0,$NONE,FULL,1,,,,,13 X 17,2,13 X 17,1,,,10 X 12,1,7 X 9,1,,,14 X 13,2,"AAHW.TOWARD MAYS.TURN L.ON 435.GO THRU
MINERVA.#1235 TO DOVER.L.ONTO #8 1MI.",,,,,,,,,,,,,,
552 JERSEY RIDGE,"$109,900 ",5,3,Jan-00,1 Story,Crawl,None,MAYSVILLE,MASON CO,249092,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,BARBARA LENNEX,(606) 564-7653,"LARGE KITCHEN DINING AREA, BEAUTIFUL BEDFORD FIREPLACE IN LIVING ROOM.
REAL KNOTTY PINE, HARDWOOD FLOORS, LARGE YARD W/MATURED TREES.
BEAUTIFUL SURROUNDINGS. CLOSE TO SHOPPING, SCHOOLS, HOSPITAL AND
CHURCHES.","Wood,Stone",Electric,Central Air,"Wood,Stone",Natural,Public,Septic,171 X 151,,0,$NONE,FULL,1,,,11 X 11,1,9 X 9,1,8 X 11,1,10 X 15,1,10 X 11,1,9 X 9,1,18 X 17,1,11 X 11,1,"AA LEFT ON US 68 ON JERSEY RIDGE RD. FIRST HOUSE
ON LEFT.",,,,,,,,,,,,,13 X 20,1
112 MASON POINTE,"$84,900 ",6,2,Feb-00,1 Story,None,1 Car (Detached),MAYSVILLE,MASON CO,250141,Condominium,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,BARBARA LENNEX,(606) 564-7653,,Brick,"Electric,Forced Air",Central Air,None,None,Public,Public,N/A,3,75,$0 ,FULL,3,FULL,3,11 X 11,3,,,9 X 12,3,,,13 X 11,3,,3,15 X 20,3,17 X 12,3,"US 27 S TO AA HWY TO MAYSVILLE, L ON #68 TO
MOODY DR, R ON MOODY",,,,,,,,,,,,,,
3260 HWY 435,"$1,800,000 ",7,3,Jan-00,2 Story,None,None,MASON,MASON CO,238975,Farms,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,BARBARA REYNOLDS,(606) 564-7653,"3 FARMS INVOLVED. SELLER WANTS TO SELL 2 FARMS ON E. SIDE TOGETHER & 1
FARM ON WEST SIDE OF HWY 1235 SEPARATE. SELLER PREFERS TO SELL 3 FARMS
TOGETHER. FARM 1 HAS HOUSE. IDEAL FRONTAGE FOR SUBDIVISION. HAS COUNTY
WATER.","Brick,Wood",,None,"Wood,Insert",Propane,Public,Septic,unk,,0,$UNK,FULL,1,,,,,12 X 12,2,,,12 X 15,1,12 X 15,1,,,,,12 X 12,1,"AA HWY PASSED AUGUSTA SIGNS. TURN LEFT ON TO HWY
435, GO THRU MINERVA,1235,LOOKSIGN",,,,,,,,,,,,,,
1109 ASH POINT,"$575,000 ",14,5,3-Apr,2 Story,Full,"3 Cars (Attached,Side,Oversized)",MAYSVILLE,MASON CO,249427,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,VICKIE GOLBERG,(606) 564-7653,"INTERIOR PHOTOS WWW.SIBCYCLINE.COM **CUSTOM KIT*INTERCOM & SOUND
SYSTEM* SATELLITE*MULTI PHONE LINES*HDWD FLRS & NAT'L WDWK 1ST
FLR*PAINTED-2ND FLR* VIEW OF RIVER*PRIVATE CUL-DE-SAC*PROF
LANDSCAPED*7 BATHS*EXTRA RM ON 1ST FL",Brick,"Gas,Forced Air",Central Air,"Wood,Gas,Brick,Marble",Natural,Public,Public,-,,0,$0 ,FULL,2,FULL,2,13 X 15,2,15 X 11,2,13 X 14,1,23 X 20,1,16 X 18,1,10 X 11,1,13 X 19,1,15 X 14,2,"AA HWY TO L #3071, R #3056,L ASHWOOD DR, L ASH
POINT. 2ND HOUSE ON RIGHT",16 X 13,1,FULL,2,12 X 15,1,15,X,14 X 15,2,PART,1,,
0 SOUTH RIPLEY,"$375,978 ",6,3,1-Jan,1.5 Story,Crawl,None,DOVER,MASON CO,247251,Single Family,"SIBCY CLINE REALTORS, INC.","(606) 564-7653 (Press Browser's ""Back"" Button to return to MLS of",DEBRA G MOORE,(606) 564-7653,"MASON CO RIVERFRONT INVESTMENT. ABOVE FLOOD PLAIN LOG CABIN 85%
COMPLETE. 16 +/-ACRES GORGEOUS PROPERTY W/TOWERING TREES AND VIEW OF
RIPLEY & RANKIN HOUSE. OLDER VICTORIAN W/CHERRY STAIRCASE & STONE
FOUNDATION. 90' WELL",Log,None,None,None,None,Wellwater,None,0,,0,$NONE,FULL,1,PART,1,15 X 11,2,13 X 10,2,11 X 11,1,,,18 X 14,1,,,22 X 16,1,14 X 13,1,"AA TO L ON RT 3071 3 MI L TOWARD DOVER 5.5 MI ON
RT 8 TO MAILBOX 2393 ON RIGHT",,,,,,,,,,,,,,
4780 KY HWY 435,"$272,000 ",8,3,Jan-00,2 Story,None,1 Car (Detached),DOVER,MASON CO,249226,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,DEBRA G MOORE,(606) 564-7653,"IMPRESSIVE 28 +/- ACRES CONVENIENTLY LOCATED ON CORNER OF AA HWY 435.
FARM HOUSE, WELL MAINTAINED. 8 VERY LARGE ROOMS, TOBACCO BARN, WILL
NEED TO VERIFY 2000 POUNDAGE. GREAT LOCATION FOR COMMERCIAL PROJECT.",Vinyl,Gas,Window Unit,"Stove,Marble",Propane,Public,Septic,unknown,,0,$NONE,FULL,1,,,15 X 15,2,15 X 15,2,15 X 15,1,15 X 12,1,26 X 10,1,,,15 X 20,1,17 X 15,1,"FROM MAYSVILLE GO NO. ON HWY 9(AA) TO HWY 435
TURN LEFT, SITS ON CORNER.",,,,,15 X 15,1,,,,,,,,
492 GLENBROOKE DR,"$199,900 ",9,4,2-Feb,3 Story,Full,"2 Cars (Attached,Side)",WASHINGTON,MASON CO,246484,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,MARGE HARGETT,(606) 564-7653,"TRADITIONAL HOUSE ON CORNER LOT, FISH POND. REAR DECK W/SWING, FRUIT
TREES, RECENT REMODELING OF FIRST FLOOR AND BASEMENT. EAT IN KITCHEN.
BDRY SUMP PUMP. 4 BR. 2 AND A HALF BA. SKY LIGHTS, NEW APPLIANCES.
IMACULATE.","Brick,Alum","Electric,Forced Air,Heat Pump",Central Air,Gas,Natural,Public,Public,0,,0,$NONE,PART,B,PART,1,,,11 X 11,2,13 X 12,1,19 X 11,1,11 X 18,1,4 X 8,B,16 X 13,1,17 X 24,2,"AA TO R ON 68 TO L ON DUKE OF YORK TO R WASH
GLEN TO L ON GLENBROOKE",,,FULL,2,,,11 X 13,2,,,FULL,2,,
3125 S COLLINS RD,"$185,000 ",5,3,Feb-00,1 Story,Full,"2 Cars (Attached,Oversized)",MAYSVILLE,MASON CO,248171,Single Family,HUFF REALTY,(606) 781-5100,CINDY GILKISON,(606) 781-5100,"THIS COUNTRY RETREAT HAS BEEN A WELL KEPT SECRET. THIS CUSTOM BUILT
HOME W/ SPACIOUS ROOMS MUST BE SEEN TO BE SEEN TO BE APPRECIATED
NESTLED IN THE HEART OF MASON CO ON 10 ACRES OF ROLLING WOODLAND,CO
WATER & ADD. ACRE AVAI",Brick,"Gas,Wood",Central Air,None,Propane,Cistern,Septic,irregular,,0,$581.31 ,FULL,1,FULL,1,13 X 14,1,13 X 14,1,,,,,19 X 27,1,12 X 12,1,19 X 27,1,17 X 19,1,"5 MILES OFF AA HWY ON KY 435 TO SOUTH COLLINS
ROAD 3 MI TO KY 8,10 MI MAYSVILLE",,,,,,,,,,,,,,
9004 OLD LOCK & DAM,"$173,500 ",8,4,1-Feb,2 Story,Full,"2 Cars (Attached,Front)",MAYSVILLE,MASON CO,247376,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,DEBRA G MOORE,(606) 564-7653,"BEAUTIFUL, SECLUDED WOODED ACREAGE, NICE 4BR 2.5BA, LIVING RM, DR,
KITCHEN BERBER CARPET. IN LIVING RM, DR & DEN FIREPLACE. 2 CAR GAR.
COUNTRY FEEL CLOSE TO TOWN.LOVELY CREEK,TARRED DR.,BSMT.OWNER
FINANCING AVAIL.VA ASSUM.",Brick,Electric,Central Air,"Wood,Insert",Natural,Cistern,Septic,0,,0,$NONE,PART,1,FULL,2,12 X 10,2,12 X 10,2,9 X 12,1,9 X 17,1,9 X 10,1,,,17 X 12,1,13 X 12,2,"TAKE #68 TO FOREST AVE. TURN R FOLLOW RD OUT
EAST END OF TOWN, TURN L AT HOUSE.",,,FULL,2,,,11 X 10,2,,,,,,
10802 SAWGRASS CT,"$118,000 ",6,2,Feb-00,1 Story,Full,"2 Cars (Builtin,Front)",UNION,BOONE CO,249748,Condominium,HUFF REALTY,(606) 525-7900,DAVID ADAMS,(606) 525-7900,"FISCHER HOMES*CHESAPEAKE MODEL*NEUTRAL DECOR*LL FAMILY ROOM FINISHED
WITH COMMERCIAL GRADE CARPETING & WIRED FOR SURROUND SOUND*GREAT
LOCATION* WET BAR*","Brick,Vinyl","Forced Air,Heat Pump",Central Air,None,None,Public,Public,condo,1,95,$0 ,FULL,1,FULL,L,11 X 10,1,,,10 X 9,1,20 X 14,L,10 X 8,1,,L,18 X 13,1,15 X 12,1,"I-75 TO RICHWOOD RD TO TRIPLE CROWN BLVD. TO L
ON TURNBERRY TO L ON SAWGRASS.",,,,,,,,,,,,,,
937 JERSEY RIDGE,"$164,900 ",9,3,1-Feb,2 Story,Part,None,MAYSVILLE,MASON CO,247150,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,MARTHA KERN,(606) 564-7653,"WHAT CHARACTER! RESTORED, NEW ROOF, 3 FIREPLACES, 2 STAIRCASES,
SECLUDED OFFICE AREA W/.5 BATH. SUN ROOM, BONUS ROOM OFF OF BR. LEAD
PLATED BUILT- IN CHINA CABINET. BRASS CHANDELIER, CARRAIGE HOUSE. 3
ACRES, HOME WARRANTY.","Brick,Wood","Gas,Hot Water,Forced Air","Central Air,Atic Fan","Wood,Gas",Natural,Public,Public,0,,0,$NONE,FULL,1,FULL,2,13,X,9 X 11,2,13 X 14,1,19 X 17,,17 X 10,1,,1,13 X 21,1,12 X 15,2,"AA TO LEFT 3071 TO R 3056 TO R JERSEY RIDGE RD
HOUSE ON LEFT",,,PART,1,11 X 11,1,,,,,,,7 X 10,2
375 BON HAVEN DR.,"$159,900 ",8,4,1-Feb,1 Story,Full,2 Cars (Attached),MAYSVILLE,MASON CO,249434,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,MARGE HARGETT,(606) 564-7653,"BRICK RANCH, 4BR, 2.5 BATH FAMILY RM. W/BAR. REAR DECK W/VIEW OF
WOODS. FRENCH DOORS APPLIANCES INCLUDED WALK OUT FINISHED BASEMENT.",Brick,"Gas,Forced Air,Heat Pump",Central Air,None,Natural,Public,Public,unknown,,0,$NONE,FULL,1,FULL,1,13,X,10 X 11,1,10 X 7,1,26 X 26,B,12 X 8,1,7 X 7,B,20 X 8,1,12 X 11,1,"AA TO 68 LEFT ON 68 RIGHT ON BON HAVEN HALFWAY
BACK ON RIGHT.",,,PART,B,,,11 X 11,B,,,,,,
295 BON HAVEN,"$151,000 ",6,3,1-Feb,1.5 Story,Full,"2 Cars (Attached,Front)",MAYSVILLE,MASON CO,246820,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,MARTHA KERN,(606) 564-7653,"VIEW. GREAT NEIGHBORHOOD. LARGE MASTER BATH W/WALK-IN AND FULL BATH.
CONNECTING BATH IN BETWEEN UPSTAIRS BEDROOM.","Brick,Vinyl","Gas,Forced Air",Central Air,"Wood,Ceramic",Natural,Public,Public,0,,0,$NONE,FULL,1,FULL,2,11 X 13,2,11 X 15,2,14 X 10,1,30 X 14,B,9 X 10,1,2 X 5,1,14 X 17,1,15 X 12,1,"AA TO L #68 TO R BON HAVEN (BEFORE FORD
DEALERSHIP) HALFWAY DOWN TO L @ 295",,,PART,1,,,,,,,,,,
2301 GLEN DRIVE,"$132,900 ",7,3,Mar-00,1.5 Story,Full,"2 Cars (Detached,Rear)",WASHINGTON,MASON CO,247394,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,VICKIE GOLBERG,(606) 564-7653,"CHARMING COUNTRY FARMHOUSE IN WASHINGTON GLEN SUBDIVISION W/2 ACRES
+/-. LG. WRAP AROUND PORCH, PARTIALLY ENCLOSED W/SCREENS. 1 1/2 STORY
MASTER BR 1ST FL. 3 BA TOTAL. GORGEOUS ENTRY STAIRCASE. DETACHED
GARAGE & SHED.","Wood,Vinyl","Gas,Forced Air,Baseboard","Central Air,Window Unit",Inoperable,Natural,Public,Public,0,,0,$NONE,FULL,1,FULL,1,12,X,12,X,13 X 14,1,15 X 11,1,12 X 14,1,3 X 6,1,14 X 15,1,14 X 15,1,"AA HWY R ON US 68 2MI. L @ 3RD LGT - DUKE OF
YORK.HOUSE JUST PAST MARSHALL ST ON RT",,,FULL,2,,,,,,,,,,
4422 PLEASANT RDG,"$71,900 ",6,3,Jan-00,2 Story,Crawl,None,MAYSVILLE,MASON CO,245714,Single Family,HUFF REALTY,(606) 781-5100,JOYCE P ANDERSON,(606) 781-5100,"SECLUDED & PRIVATE LOG HOME & BARN ON 6 ACRES M/L HAS COUNTY WATER.
HOME IS EARLY 1900'S.","Wood,Log","Gas,Radiant",None,None,Propane,Public,Septic,IRREGULAR,,0,"$9,999 ",FULL,1,,,,1,,2,,1,,,,1,,,,1,,1,"AA HWY TO R ON 1159 TO BROOKSVILLE 10 EAST TO
GERMANTOWN R ON SALEM 5 MI L ON P",,,,,,,,,,,,,,
780 WOODLAND DR.,"$235,000 ",13,3,2-Feb,2 Story,Full,"2 Cars (Attached,Side)",MAYSVILLE,MASON,247838,Single Family,"SIBCY CLINE REALTORS, INC.",(606) 564-7653,DEBRA G MOORE,(606) 564-7653,"LG. CORNER LOT W/NICE LANDSCAPING. HARDWOOD FLOORS IN KIT, FAM.RM.
DINING RM CROWN MOLDING AND CHAIRRAIL, LOWER LEVEL SM. KITCHENETTE,
BATH, OFFICE, REC. RM AND WORKSHOP, FRENCH DOORS IN BOTH FAMILY RMS.
LG. DECK ACROSS BACK",Brick,"Gas,Forced Air",Central Air,None,Natural,Public,Public,unk,--,0,$UNK,FULL,2,FULL,2,9 X 13,2,7 X 13,2,10 X 12,1,12 X 17,1,10 X 11,1,6 X 9,1,13 X 16,1,10 X 14,2,"AA TO 68 L AT LIGHT PAST LIGHT AT MCDONAL DS,
FIRST ST ON L, WOODLAND AT END ON RT",8 X 10,1,PART,1,12 X 27,L,,,,,PART,2,,
