code,title,schedule_line,section_code,credits,days,start_time,end_time,building,room,instructor,restrictions
CESM 514,EARTHQUAKE DESIGN I,1940,A,3,MWF,130,220,MOR,225,"ROEDER,C",
CESM 516,DESIGN FOR WIND,1941,A,3,MWF,230,320,MOR,234,"REED,D",
CESM 520,SEMINAR,1942,A,1,TTh,330,520,MOR,220,"MILLER,G","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 CIV E,ENGR MAJORS ONLY"
CESM 564,LAT EARTH PRESSURES,1943,A,3,MWF,930,1020,MOR,234,"JONES,A",
CESM 566,GEOTECH EQ ENGRG,1944,A,3,MWF,1030,1120,MOR,234,"KRAMER,S",
CESM 569,FOUND SOIL IMPRT,8226,A,3,MWF,1130,1220,EE1,042,"HOLTZ,R",
ARCH 461,RECENT ARCH THEORY,8378,A,3,WF,1030,1150,GLD,208J,"SELIGMANN,C","CAUP,ARCH MAJORS ONLY (PD.1)"
ART 378,ELEC INTERACT DES,1393,A,5,TTh,1230,320,ART,230,WHITEHILL-WA,"VISUAL COMMUNICATION DESIGN 
 MAJORS ONLY 
 MATERIALS FEE REQUIRED $30"
CESM 599,SPECIAL TOPICS,1945,A,2-5,,,,,,,INSTRUCTOR I.D. MOR 201A
CESM 600,INDEPNDNT STDY/RSCH,1947,A,1-10,,,,,,,INSTRUCTOR I.D. MOR 201A
CETS 505,CONST LABOR LAW/POL,1948,U,3,M,600,850P,EE1,045,"GOLDBLATT,S","SENIORS,5TH YEAR,GRADS 
 ONLY (PD.1&2) 
 ONLY MAJORS FROM ENGR,ARCH 
 COLLEGE (PD.1&2) 
 ADD CODE REQUIRED (PD.3) 
 DROP CODE REQUIRED (PD.3&4)"
CETS 520,SEMINAR,1949,A,1,Th,1230,120,MOR,225,"RUTHERFORD,G","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 CIV E,ENGR MAJORS ONLY 
 RESEARCH METHODS III"
CETS 526,PCC LAB,8045,A,4,MWF,930,1120,MOR,034,"JANSSEN,D",
CETS 541,TRANSIT SYSTEMS PLG,1951,A,3,TTh,830,1020,MOR,230,"RUTHERFORD,G",
CETS 543,AIRPORT ENGINEERING,1952,A,3,TTh,130,320,MOR,234,"MAHONEY,J",
CETS 571,ANAL METHODS TRANS,1955,U,3,TTh,500,750P,MOR,221,"MANNERING,F",GRADS ONLY (PD.2&3)
CETS 599,SPECIAL TOPICS,,,,,,,,,,
CETS 600,INDEPNDNT STDY/RSCH,1958,A,1-10,,,,,,,INSTRUCTOR I.D. MOR 201A
ART 380,VID ART/VID INSTA,1394,A,5,TTh,1130,220,ART,027,"O'MALLEY,M",MATERIALS FEE REQUIRED $40
CSE 142,COMPUTER PROG I,,,,,,,,,,
CSE 143,COMPUTER PROG II,,,,,,,,,,
CSE 321,DISCRETE STRUCTURES,,,,,,,,,,
CSE 322,INTRO FORMAL MODELS,2417,A,3,MWF,230,320,EE1,045,"BEAME,P","C SCI,CMP E MAJORS ONLY"
CSE 326,DATA STRUCTURES,,,,,,,,,,
CSE 341,PROGRAMMING LANGS,,,,,,,,,,
CSE 370,INTRO DIG DESIGN,,,,,,,,,,
CSE 373,DATA STRUC/ALGORITH,2424,A,3,MWF,1130,1220,PAA,A114,"MORCOS,P",
CSE 378,MC ORG & ASSEM LANG,,,,,,,,,,
CSE 401,INT COMPILER CONSTR,2429,A,3,MWF,1230,120,MEB,238,"CHAMBERS,C","C SCI,CMP E MAJORS ONLY"
ART 422,COMPUTER AIDED ID,1395,A,5,TTh,1230,320,ART,215,"SCOTT,G","MATERIALS FEE REQUIRED $45 
 INDUSTRIAL DESIGN MAJORS ONLY"
CSE 413,LANGS & COMPILERS,2430,A,3,MWF,230,320,EE1,125,"PERKINS,J","NON MAJORS; NO CREDIT IF CSE 341 
 OR CSE 401 HAS BEEN TAKEN"
CSE 415,ARTIF INTELLIGENCE,2431,A,5,MWF,1230,120,BAG,261,"TANIMOTO,S","NO C SCI,CMP E MAJORS 
 NON-MAJORS ONLY"
CSE 431,INTRO THEORY COMPUT,8368,B,3,MWF,930,1020,LOW,101,"TOMPA,M","C SCI,CMP E MAJORS ONLY"
CSE 451,INTRO OPERATING SYS,,,,,,,,,,
CSE 457,COMPUTER GRAPHICS,2435,A,4,MWF,230,320,EE1,037,"CURLESS,B","CMP E,C SCI MAJORS ONLY"
CSE 461,INTRO COMP NETWORKS,2436,A,4,MW,330,450,LOW,102,"ROY,S","OFFERED JOINTLY WITH E E 461 A 
 CMP E,C SCI MAJORS ONLY"
CSE 466,SW FOR EMB SYS,8572,BB,4,,,,,,,"C SCI,CMP E MAJORS ONLY"
CSE 472,INTR TO COMPUT LING,7970,AA,3,,,,,,,OFFERED JOINTLY WITH LING 472 AA
CSE 473,INTR TO ARTIF INTLL,2439,A,3,MWF,1130,1220,LOW,105,"DOMINGOS,P","C SCI,CMP E MAJORS ONLY"
CSE 477,DIG SYSTEM DESIGN,2441,AB,5,,,,,,,"CMP E MAJORS ONLY (PD.1) 
 C SCI,CMP E MAJORS ONLY (PD.2&3)"
ART 428,SR THESIS FIBER ART,1396,A,5,,,,,,,"OFFERED JOINTLY WITH ART 540 A 
 ART MAJORS ONLY 
 MATERIALS FEE REQUIRED $60"
CSE 481,CAP SOFT DESIGN,2442,A,5,TTh,1130,1250,EE1,026,"ZAHORJAN,J","SENIORS ONLY 
 CMP E,C SCI MAJORS ONLY 
 PERMISSION OF INSTRUCTOR"
CSE 490,SPECIAL TOPICS CSE,,,,,,,,,,
CSE 498,SENIOR PROJECT,,,,,,,,,,
CSE 499,READING & RESEARCH,2448,A,1-24,,,,,,,"CREDIT/NO CREDIT ONLY 
 C SCI,CMP E MAJORS ONLY"
CSE 503,SOFTWARE ENG,2449,A,3,MWF,1030,1120,EE1,025,"NOTKIN,D","GRADS ONLY 
 CSE MAJORS ONLY"
CSE 519,RESEARCH SEMINAR,,,,,,,,,,
CSE 520,COLLOQUIUM,,,,,,,,,,
CSE 522,DSGN&ANLYS ALGRTHM,2454,A,3,,,,,,,"GRADS ONLY 
 CSE MAJORS ONLY"
CSE 544,PRINCIPLES OF DBMS,2455,A,3,WF,1200,120,EE1,025,"LEVY,A","GRADS ONLY 
 CSE MAJORS ONLY"
CSE 551,OPERATING SYSTEM,2456,A,3,TTh,1030,1150,EE1,025,"LEVY,H","GRADS ONLY 
 CSE MAJORS ONLY"
ART 436,SCULPTURE COMPOSITN,1397,A,5,,,,,,,"ART MAJORS ONLY 
 MATERIALS FEE REQUIRED $105"
CSE 553,REAL-TIME SYSTEMS,2457,A,3,TTh,900,1020,EE1,025,"SHAW,A","GRADS ONLY 
 CSE,E E MAJORS ONLY"
CSE 558,SPEC TOP COMP GRAPH,8438,B,3,TTh,1200,120,EE1,003,"POPOVIC,Z",
CSE 561,COMPUTER NETWORKS,8344,B,3,MW,430,550,LOW,101,"WETHERALL,D","GRADS ONLY 
 CSE MAJORS ONLY"
CSE 576,IMAGE UNDERSTANDING,8212,A,3,MWF,130,220,EE1,037,,OFFERED JOINTLY WITH E E 576 A
CSE 580,DISTRIBUTED SYSTEMS,8631,YA,4,W,630,920P,EE1,003,"ANDERSON,T",
CSE 586,COMPUTER ARCH,8409,YB,4,Th,630,920P,EE1,003,"BAER,J","GRADS ONLY 
 CSE E MAJORS ONLY (PD.1) 
 CSE,CSE E MAJORS ONLY (PD.2&3)"
CSE 590,SPEC TPCS COMP SCI,,,,,,,,,,
CSE 592,APPS ARTIF INTEL,2484,YA,4,T,630,920P,EE1,003,"YANG,Q","GRADS ONLY 
 CSE E MAJORS ONLY (PD.1) 
 CSE,CSE E MAJORS ONLY (PD.2&3)"
CSE 600,INDEPNDNT STDY/RSCH,2485,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
CSE 700,MASTERS THESIS,2486,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
ART 440,SR THESIS PHOTO,1398,A,5,TTh,1130,220,ART,015,"GARVENS,E","MATERIALS FEE REQUIRED $65 
 PHOTO MAJORS ONLY"
CSE 800,DOCTORAL DISSERTATN,2487,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
E E 215,INTRO TO E E,,,,,,,,,,
E E 233,CIRCUIT THEORY,,,,,,,,,,
E E 235,CT LINEAR SYSTEMS,,,,,,,,,,
E E 299,SPEC TPCS ELEC ENGR,2660,A,1-5,,,,,,,
E E 331,DEVICES/CIRCUITS I,,,,,,,,,,
E E 332,DEVICES/CIRCUITS II,,,,,,,,,,
E E 351,ENERGY SYSTEMS,,,,,,,,,,
E E 361,APPL EM,,,,,,,,,,
E E 371,DIGITAL CIR & SYSTE,,,,,,,,,,
ART 447,ADV INDUSTRIAL DES,1399,A,5,TTh,830,1120,ART,232,"ST. PIERRE,L","INDUST DESIGN MAJORS ONLY 
 MATERIALS FEE REQUIRED $35"
E E 399,SPEC TPCS ELEC ENGR,2678,A,1-5,,,,,,,E E MAJORS ONLY
E E 400,ADV TOPICS E E,,,,,,,,,,
E E 420,DESIGN IN COMM,2685,A,4,TTh,300,450,LOW,116,,"NO NONMTRCS,GRADS 
 E E MAJORS ONLY"
E E 433,ANALOG CKT DESIGN,,,,,,,,,,
E E 436,MEDICAL INSTRUMENTN,,,,,,,,,,
E E 443,DES APPL DIG SIG PR,2691,AA,5,TTh,1030,1220,EE1,037,,E E MAJORS ONLY
E E 449,DESIGN CONTR SYSTEM,2693,A,4,TTh,930,1050,GUG,306,,"OFFERED JOINTLY WITH A A 449 A 
 E E,A A,M E MAJORS ONLY 
 ADDITIONAL $45 LAB FEE REQUIRED"
E E 456,CAD IN POWER SYST,2694,A,4,MW,1230,220,EE1,031,,E E MAJORS ONLY
E E 457,ELEC ENERGY DISTR,2695,A,4,MW,330,520,EE1,025,,E E MAJORS ONLY
E E 461,INTRO COMP NETWORKS,2697,A,4,MW,330,450,LOW,102,,"OFFERED JOINTLY WITH CSE 461 A 
 E E MAJORS ONLY"
ART 460,ADV METAL DESIGN,1400,A,5,,,,,,,"ART MAJORS ONLY 
 MATERIALS FEE REQUIRED $50"
E E 467,ANTENNAS,2698,A,4,MW,830,1020,EE1,031,,E E MAJORS ONLY
E E 472,MICROCOMPUTER SYST,2700,A,5,TTh,1030,1220,EE1,045,,E E MAJORS ONLY
E E 478,DSN COMP SUBSYSTEMS,2701,AA,5,,,,,,,E E MAJORS ONLY
E E 484,SENSRS/SENSR SYSTMS,8479,A,4,,,,,,,
E E 486,I.C. TECHNOLOGY,2702,A,3,TTh,930,1050,MEB,242,,"OFFERED JOINTLY WITH MSE 467 A 
 E E MAJORS ONLY"
E E 498,CONSUMERELECTRONICS,,,,,,,,,,
E E 499,SPECIAL PROJECTS,2703,A,2-5,,,,,,,"E E,CMP E MAJORS ONLY"
E E 500,GRADUATE SEMINAR,,,,,,,,,,
E E 507,COMM THRY II,8470,A,3,TTh,1230,150,MUE,153,,
E E 513,ACTIVE CIRCUIT THRY,2719,A,3,MWF,1030,1120,EE1,037,,
ART 463,ADVANCED PAINTING,,,,,,,,,,
E E 519,STOCHASTIC ANALYSIS,2721,A,4,TTh,330,450,LOW,201,,"STUDENTS IN SISRE 220/HSTEU 220 
 CAN ALSO TAKE IMT 220B"
E E 527,SOLID-STATE LAB TEC,2724,AA,4,MWF,1230,120,EE1,042,,
E E 531,SEMI DEV&DEV SIMUL,8486,A,4,,,,,,,
E E 535,DIGITAL IC SYSTEMS,2725,AA,4,,,,,,,
E E 538,TOP ELECT CIR DES,,,,,,,,,,
E E 544,ADV ROBOT MANIP,2729,A,4,TTh,1200,120,EE1,025,,
E E 545,AUTONOMOUS ROBOTS,2730,A,3,MWF,930,1020,EE1,025,,
E E 549,ESTIM & SYST IDENT,8252,A,3,MWF,1230,120,LOW,118,"CHIZECK,H",OFFERED JOINTLY WITH A A 549 A
E E 574,ELMAG COMP& APPL II,2739,A,4,TTh,1030,1220,EE1,042,,
E E 575,WAVES IN RANDM MEDA,2741,A,4,MW,230,420,LOW,206,,
ART 464,ADV PAINTING/DRAWNG,,,,,,,,,,
E E 576,IMAGE UNDERSTANDING,8211,A,3,MWF,130,220,EE1,037,,OFFERED JOINTLY WITH CSE 576 A
E E 582,DIGITAL CONTROL II,2744,A,3,MWF,1130,1220,LOW,206,,OFFERED JOINTLY WITH M E 582 A
E E 586,DIG VID COD SYS,2748,A,3,MWF,230,320,EE1,025,,
E E 590,ADV TPCS DIGT CMPUT,2749,A,3,WF,130,320,EE1,026,,
E E 591,CONTROL SEMINAR,2750,A,1,F,230,320,GUG,217,,"OFFERED JOINTLY WITH CHEM E 591 A 
 CREDIT/NO CREDIT ONLY"
E E 596,ADV TPCS S&I PROC,8408,A,4,MW,330,520,EE1,031,,
E E 599,SEL TOPICS IN E E,2753,A,1-5,,,,,,,
E E 600,INDEPNDNT STDY/RSCH,,,,,,,,,,
E E 700,MASTERS THESIS,2758,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
E E 800,DOCTORAL DISSERTATN,2760,A,1-10,,,,,,,CREDIT/NO CREDIT ONLY
ARCH 478,ARCH CAD SYSTEMS,1295,A,4,MWF,830,1020,GLD,236,"WRIGHT JR,R","CAUP,ARCH MAJORS ONLY (PD.1) 
 ADD CODE REQUIRED (PD.3)"
ART 468,PRESENTATION,1405,A,5,MW,830,1120,ART,247,"CHENG,K","VISUAL COMMUNICATION DESIGN 
 MAJORS ONLY 
 MATERIALS FEE REQUIRED $30"
ENGR 100,INTRO ENGR DESIGN,,,,,,,,,,
ENGR 123,INTRO ENGRG GRAPHIC,,,,,,,,,,
ENGR 197,ENGR PROBLEM SOLV,,,,,,,,,,
ENGR 199,SPECIAL PROJECTS,,,,,,,,,,
ENGR 321,ENGR CO-OP ED,,,,,,,,,,
ENGR 322,ENGR CO-OP SEM,3333,A,0,,,,,,,"CREDIT/NO CREDIT ONLY 
 DROP CODE REQUIRED 
 NO MEETING REQUIRED ANY LONGER. 
 STUDENTS SUBMIT A REPORT."
ENGR 498,SPECIAL TOPICS,,,,,,,,,,
ENGR 499,SPECIAL PROJECTS,,,,,,,,,,
IND E 237,INTRO MANU SYSTEMS,4234,AA,3,,,,,,,IND E MAJORS ONLY
IND E 250,ENGR ECON,4235,A,4,MTWF,930,1020,EEB,318,"SMITH,R","ONLY MAJORS FROM ENGR,FOR COLLEGE 
 EXPENG,PRENGR MAJORS ONLY 
 ADD CODE REQUIRED (PD.3) 
 ""FORMERLY ENGR 250"""
ART 480,GRAPHIC DESIGN,1406,A,3,TTh,830,1120,ART,247,WHITEHILL-WA,"VISUAL COMMUNICATION DESIGN 
 MAJORS ONLY 
 MATERIALS FEE REQUIRED $30"
IND E 295,PRODUCT DISSECTION,8158,A,3,TTh,930,1120,EGA,101,"JORGENSEN,J","OFFERED JOINTLY WITH M E 295 A 
 EXPERIENCE IN HOW THINGS WORK"
IND E 315,PROB & STAT FOR ENG,4237,A,3,MWF,1230,120,GWN,201,KRISTINSDOTT,"ADD CODE REQUIRED (PD.3) 
 ""FORMERLY ENGR 315"""
IND E 316,REGR ANLYS DES EXPR,4238,A,3,TTh,230,350,LOW,105,KRISTINSDOTT,"OFFERED JOINTLY WITH STAT 316 A 
 NO FRESHMEN,SOPHMRS 
 IND E,STAT MAJORS ONLY"
IND E 424,SIMULATION,4239,A,4,TTh,1030,1220,LOW,101,"BEAMON,B",IND E MAJORS ONLY
IND E 495,I E DESIGN,4241,A,3,F,130,420,MEB,103,"SMITH,R","SENIORS ONLY 
 IND E MAJORS ONLY 
 SENIOR DESIGN"
IND E 499,SPECIAL PROJECTS IE,,,,,,,,,,
IND E 510,APPL OPT ENG DESIGN,4243,A,3,MW,130,250,MEB,242,"ZABINSKY,Z",OFFERED JOINTLY WITH AMATH 510 A
IND E 518,SEMINAR IN MFG MGMT,8318,A,1,Th,330,420,MEB,250,,"OFFERED JOINTLY WITH M E 518 A 
 GRADS ONLY"
IND E 533,COMP METH DESGN MFG,4246,A,3,TTh,1030,1150,LOW,202,"WOO,T",
IND E 593,SEMINAR,4248,A,1,T,1230,120,EEB,316,"SMITH,R","CREDIT/NO CREDIT ONLY 
 NO FRESHMEN,SOPHMRS,JUNIORS,SENIORS"
ART 485,ADV CERAMIC ART,1407,A,5,TTh,230,520,CMA,109,"WALKER,J","MATERIALS FEE REQUIRED $55 
 CERAMICS MAJORS ONLY"
IND E 599,SPECIAL TOPICS IE,,,,,,,,,,
IND E 600,INDEPNDNT STDY/RSCH,4251,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 IND E MAJORS ONLY 
 INSTRUCTOR I.D. MEB G7"
IND E 700,MASTERS THESIS,4252,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 IND E MAJORS ONLY 
 INSTRUCTOR I.D. MEB G7"
IND E 800,DOCTORAL DISSERTATN,4253,A,1-10,,,,,,,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 IND E MAJORS ONLY 
 INSTRUCTOR I.D. MEB G7"
CER E 401,EQUIPM & PLANT DSGN,1936,AA,3,,,,,,,OFFERED JOINTLY WITH MET E 463 AA
CER E 411,VITREOUS STATE,,,,,,,,,,
CER E 470,REFRACTORIES,1939,A,3,MWF,930,1020,MUE,154,"DOGAN,F",
MSE 170,FUNDMNT MATERLS SCI,,,,,,,,,,
MSE 316,MECH BEHAVIOR MTLS,,,,,,,,,,
MSE 319,PHYS MATL LAB,,,,,,,,,,
ART 487,SR RESEARCH CERAMIC,1408,A,5,,,,,,,CERAMIC MAJORS ONLY
MSE 330,PROC INORG MTLS,,,,,,,,,,
MSE 399,INTRO TO RES & DES,4998,A,1,Th,130,220,MOR,225,"DOGAN,F",
MSE 467,ELECTRONIC MTL PROC,4999,A,3,TTh,900,1050,MEB,242,"STOEBE,T",OFFERED JOINTLY WITH E E 486 A
MSE 498,SPECIAL TOPICS,,,,,,,,,,
MSE 499,SENIOR PROJECT,5004,A,VAR,,,,,,,
MSE 515,ADV TEM,8524,A,3,TTh,1000,1120,MUE,170,"REED,B",
MSE 518,ADVANCED MINERALOGY,5006,A,3,TTh,1030,1150,JHN,157,"GHOSE,S",OFFERED JOINTLY WITH GEOL 520 A
MSE 520,SEMINAR,5007,A,1,M,230,420,MUE,153,"KALONJI,G",CREDIT/NO CREDIT ONLY
MSE 525,THERMO TOPIC MAT SC,5008,A,3,TTh,900,1020,ROB,321,"BRUSH,L",
MSE 563,ADVANCED COMPOSITES,5013,A,3,TTh,430,550P,LOW,206,"DAS,K",OFFERED JOINTLY WITH M E 563 A
ART 488,SR SOURCE CERAMICS,1409,A,5,,,,,,,CERAMIC MAJORS ONLY
MSE 571,POLYMERIC MATERIALS,5014,A,3,WF,130,250,BNS,117,"RATNER,B",OFFERED JOINTLY WITH BIOEN 571 A
MSE 598,ENGR MTLS PROJECT,8593,A,4,,,,,,,
MSE 599,SPEC TPCS MATLS SCI,,,,,,,,,,
MSE 600,INDEPENDENT STUDY,5018,A,1-10,,,,,,,
MSE 700,MASTERS THESIS,5020,A,1-10,,,,,,,
MSE 800,DOCTORAL DISSERTATN,5022,A,1-10,,,,,,,
MET E 463,RELIABLTY & DES SYS,4893,AA,4,,,,,,,OFFERED JOINTLY WITH CER E 401 AA
MET E 464,EXTRCTV PROC ANLYS,4894,A,3,MWF,130,220,MEB,237,"RAO,Y",
M E 230,KINEMATICS & DYNS,,,,,,,,,,
M E 295,PRODUCT DISSECTION,8157,A,3,TTh,930,1120,EGA,101,"JORGENSEN,J","OFFERED JOINTLY WITH IND E 295 A 
 EXPERIENCE IN HOW THINGS WORK"
ART 496,U/GRAD INTERNSHIP,1410,A,2-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 ART,ART H MAJORS ONLY"
M E 323,THERMODYNAMICS II,4550,AA,4,,,,,,,M E MAJORS ONLY
M E 331,INTRO HEAT TRANSFER,4551,AA,4,,,,,,,M E MAJORS ONLY
M E 333,INTRO TO FLUID MECH,4552,AA,4,,,,,,,M E MAJORS ONLY
M E 354,MECH OF MAT LAB,,,,,,,,,,
M E 355,INTRO MFG PROCESS,,,,,,,,,,
M E 356,MACHN DESGN ANLYS,4563,AA,4,,,,,,,M E MAJORS ONLY
M E 374,SYS DYN ANLYS & DES,,,,,,,,,,
M E 395,INTRO MECH DESIGN,,,,,,,,,,
M E 406,CORR&SURF TRT MTRLS,4570,A,3,MWF,1230,120,LOW,206,"SANDWITH,C",M E MAJORS ONLY
M E 425,AIR CONDITIONING,4571,A,4,MTWF,830,920,MEB,250,"ELDER,K",M E MAJORS ONLY
ART 498,INDIV PROJ-PTG/SCLP,1411,A,3/5,,,,,,,"ART,ART H MAJORS ONLY"
M E 426,ENERGY DESIGN,4574,AC,4,,,,,,,
M E 433,TURBOMACHINERY,4576,AA,4,,,,,,,M E MAJORS ONLY
M E 440,ADV MECH OF MATLS,4577,A,3,MWF,1130,1220,MEB,247,"JENKINS,M",M E MAJORS ONLY
M E 478,FINTE ELEMENT ANLYS,4580,AA,4,,,,,,,M E MAJORS ONLY
M E 480,CAD TECHNOLOGY,4581,A,4,,,,,,,"M E,IND E MAJORS ONLY"
M E 495,MECH ENGR DESIGN,,,,,,,,,,
M E 498,SPEC TPCS MECH ENGR,,,,,,,,,,
M E 499,SPECIAL PROJECTS,,,,,,,,,,
M E 518,SEMINAR IN MFG MGMT,4597,A,1,Th,330,420,LOW,202,"RAMULU,M","OFFERED JOINTLY WITH IND E 518 A 
 GRADS ONLY 
 PEMM SEMINAR"
M E 519,SEMINAR,4599,A,0,,,,,,,"T 330-420 * * FABIEN,B
 CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 M E MAJORS ONLY"
ART 499,INDIV PROJ-DESIGN,1412,A,3/5,,,,,,,"ART,ART H MAJORS ONLY"
M E 520,SEMINAR,4600,A,1,,,,,,,"T 330-420 * * FABIEN,B
 CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 M E MAJORS ONLY"
M E 523,COMBUSTION SEMINAR,4601,A,1,W,330,420,MEB,242,"MALTE,P","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 M E MAJORS ONLY"
M E 532,CONVECT HEAT TRANS,4604,A,3,MWF,1030,1120,MEB,247,"KRAMLICH,J",GRADS ONLY
M E 535,COMPT TECHN MECH E,4607,A,3,TTh,1030,1150,LOW,206,"RILEY,J",GRADS ONLY
M E 549,ESTIM & SYST IDENT,8254,A,3,MWF,1230,120,LOW,118,"CHIZECK,H",OFFERED JOINTLY WITH E E 549 A
M E 552,ELASTICITY II,4610,A,3,TTh,1030,1150,MEB,246,"TAYA,M",GRADS ONLY
M E 563,ADVANCED COMPOSITES,4615,A,3,TTh,430,550P,LOW,206,"DAS,K",OFFERED JOINTLY WITH MSE 563 A
M E 573,PROB MECH DESIGN,4618,A,3,MWF,130,220,LOW,202,"JENKINS,M",GRADS ONLY
M E 582,DIGITAL CONTROL II,4621,A,3,MWF,1130,1220,LOW,206,"BERG,M","OFFERED JOINTLY WITH A A 582 A 
 GRADS ONLY"
M E 591,ROBOT & CONTR COLL,4626,A,1,F,230,320,GUG,217,"RICKER,N","OFFERED JOINTLY WITH A A 591 A 
 CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 M E MAJORS ONLY"
ART 512,GRADUATE SEMINAR,,,,,,,,,,
M E 598,TOPICS IN RESEARCH,4628,A,1,T,330,420,MEB,238,"FABIEN,B","CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 M E MAJORS ONLY"
M E 599,SPECIAL PROJECTS,,,,,,,,,,
M E 600,INDEPNDNT STDY/RSCH,,,,,,,,,,
M E 700,MASTERS THESIS,,,,,,,,,,
M E 800,DOCTORAL DISSERTATN,,,,,,,,,,
T C 231,INTRO TECH WRITING,,,,,,,,,,
T C 310,COMPUTER IN TECH CO,7353,A,4,MW,230,420,LOW,105,"SEELEY,A","MEETS WRITING COURSE REQUIREMENT 
 T C MAJORS ONLY 
 EC LOW 014"
T C 333,ADV TEC WRIT & ORAL,,,,,,,,,,
T C 400,SC & TECH COMM,7361,A,3,MW,930,1050,MEB,243,"HASELKORN,M","MEETS WRITING COURSE REQUIREMENT 
 EC LOW 014"
T C 401,STYLE IN TECH WR,7362,A,3,TTh,930,1050,LOW,218,"CONEY,M","MEETS WRITING COURSE REQUIREMENT 
 EC LOW 014; NO AUDITORS"
ART 513,STUDIO PTG THEORIES,7978,A,3,M,630,920,ART,212,LOEWENSTEIN,"CREDIT/NO CREDIT ONLY 
 GRADS ONLY 
 ART MAJORS ONLY 
 TEACHING SEMINAR FOR ART STUDIO 
 GRAD STUDENTS"
T C 403,PUBL PROJ MGT,7363,A,3,MW,200,320,EEB,218,"PLUMB,C","MEETS WRITING COURSE REQUIREMENT 
 EC LOW 014"
T C 407,COMPUTER DOC,7365,A,3,TTh,330,450,LOW,216,"PREKEGES,J","MEETS WRITING COURSE REQUIREMENT 
 EC LOW 014"
T C 411,VISUALS IN TECH COM,7368,A,4,TTh,1230,220,EEB,216,"WILLIAMS,T","MEETS WRITING COURSE REQUIREMENT 
 EC LOW 014"
T C 493,SENIOR STUDY,7371,A,5,,,,,,,INSTRUCTOR I.D. LOW 014
T C 495,PROF PRACTICE,7372,A,3-5,,,,,,,"CREDIT/NO CREDIT ONLY 
 INSTRUCTOR I.D. LOW 014"
T C 498,SPECIAL TOPICS,,,,,,,,,,
T C 499,SPECIAL PROJECTS,,,,,,,,,,
T C 509,SCIENTIFIC ARTICLE,7378,A,3,TTh,330,450,LOW,217,"ILLMAN,D",EC LOW 014
T C 510,INFORMATION DESIGN,7379,A,4,TTh,130,320,LOW,111,"FARKAS,D",EC LOW 014
T C 520,TECH COMM MGMT,7380,A,3,MW,130,250,LOW,222,"HASELKORN,M",EC LOW 014
ARCH 493,ROME PREP SEMINAR,1296,U,2,W,630,820P,GLD,435,"BOSWORTH,T","FOR STUDENTS PARTICIPATING IN 
 ROME PROGRAM"
ART 515,PHOTOGRAPHY,1415,A,3-15,,,,,,,"ART MAJORS ONLY 
 PHOTOGRAPHY 
 MATERIALS FEE REQUIRED $65"
T C 521,SEMINAR ISSUES T C,7381,A,1,F,1230,120,LOW,220,"RAMEY,J","OFFERED JOINTLY WITH ENGR 498 HB 
 CREDIT/NO CREDIT ONLY"
T C 532,TECHNICAL JAPAN 3,7383,A,4,MTThF,830,920,LOW,216,"KATO,M",EC ENGR LIBR 026
T C 537,ADV TECH JAPAN 2,7384,A,4,TTh,1230,150,LOW,219,"TSUTSUI,M",EC ENGR LIBRARY 026
T C 597,TEACHING TECH COMM,7385,A,1-2,,,,,,,"CREDIT/NO CREDIT ONLY 
 EC LOW 014"
T C 598,SPECIAL TOPICS,7386,A,4,MW,330,450,LOW,217,"ILLMAN,D","SCI TECH PRACTICUM 
 EC LOW 014"
T C 599,SPECIAL PROJECTS,,,,,,,,,,
T C 600,IND STUDY/RESEARCH,7389,A,1-10,,,,,,,INSTRUCTOR I.D. LOW 014
T C 601,INTERNSHIP,7390,A,2-10,,,,,,,INSTRUCTOR I.D. LOW 014
T C 700,MASTER'S THESIS,7391,A,1-10,,,,,,,INSTRUCTOR I.D. LOW 014
CFR 101,FORESTS AND SOCIETY,1969,A,5,MTWThF,130,220,AND,223,"BARE,B",
ART 520,SEMINAR IN PAINTING,1416,A,3,,,,,,,"CREDIT/NO CREDIT ONLY 
 MATERIALS FEE REQUIRED $10"
CFR 429,SEM STEAMSIDE ST,1970,A,1,T,830,920,AND,022,"BOLTON,S","OFFERED JOINTLY WITH FISH 429 A 
 CREDIT/NO CREDIT ONLY"
CFR 480,FIELD STUDIES,8321,A,1,,,,,,,"THIS COURSE WILL BE ON FRIDAY: THE 
 TIME AND PLACE WILL BE ARRANGED"
