note,course,title,credits,level,restrictions,section_note,section,days,start,end,bldg,rm,instructor,comments,text
,156-354,ANTHROPOLOGY OF ART,3,U/G,; ; PREREQ: JR ST; ANTHRO 102(R),,Se 101,TR,11:05am,12:20pm,OFC,MUSM,Ulrich,"MILW PUBLIC MUSEUM, 800 W WELLS ST",
,696-590,TOPICS IN OCCUPATIONAL THERAPY:,3-Jan,U/G,; ; MAY BE RETAKEN WITH CHANGE IN TOPIC TO MAX OF 9 CR. PREREQ: JR ST IN O.T. PROG OR CONS INSTR,,,,,,,,,,
,696-610,ADVANCES IN OCCUPATIONAL SCIENCE,3,U/G,; ; PREREQ: SR ST IN BACCALAUREATE O.T. PROG OR GRAD ST,e,Se 001,W,6:00pm,9:00pm,END,916,Kennedy,,
,696-702,RESEARCH IN OCCUPATIONAL THERAPY,3,G,; ; PREREQ: GRAD ST; OCCTHPY 701(P); QUANTITATIVE & QUALITATIVE RESEARCH COURSES OR EQUIV; CONS INSTR,e,Se 001,T,6:00pm,9:00pm,END,916,Kennedy,,
,696-790,DESIGN PROJECT,3,G,"; ; JOINTLY OFFERED WITH & COUNTS AS REPEAT OF HLTHMNT 790 & IND ENG 790. PREREQ: GRAD ST; IND ENG 580, 780, 785, 786, 787, 788 OR CONS INSTR",,,,,,,,,,
,722-201,INTRODUCTION TO CONFLICT RESOLUTION AND PEACE,3,U,; (SS) PREREQ: NONE,e,Se 101,R,5:30pm,8:10pm,OFC,WARM,Foley,"MILW WAR MEMORIAL CTR, 750 N. LINCOLN MEMORIAL DR, RM TBA",
,736-101,INTRODUCTION TO PHILOSOPHY,3,U,; (HU) NOT RETAKABLE. PREREQ: NONE ; ; ENROL IN SE 001 OR 002 ONLY; OR ENROL IN EITHER LC 401 OR LC 402 & ANY DS 601-618,,,,,,,,,,
,736-111,INFORMAL LOGIC - CRITICAL REASONING,3,U,; (HU) PREREQ: NONE,e,Se 101,T,6:15pm,8:55pm,OFC,UCCE,Rice,"U.C.C.E, 161 W. WISCONSIN AVE, RM 6000",
,736-192,FRESHMAN SEMINAR:,3,U,; (HU) OPEN TO FRESHMEN ONLY. RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: NONE,,,,,,,,,,
,736-204,INTRODUCTION TO ASIAN RELIGIONS,3,U,; (HU) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE ; ; ENROL IN SE 001 ONLY; OR ENROL IN LC 401 & ANY DS 601-604,,,,,,,,,,
,736-207,RELIGION AND SCIENCE,3,U,; (HU) PREREQ: NONE,e,Se 001,TR,4:30pm,5:45pm,CRT,109,Luce,,
,156-360,INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,3,U/G,; ; PREREQ: JR ST; ANTHRO 102(R),e,Se 001,M,4:30pm,7:10pm,BOL,B95,Afolayan,,
,736-211,ELEMENTARY LOGIC,3,U,; (HU) PREREQ: NONE ; ; ENROL IN EITHER LC 401 OR 402 & ANY DS 601-619,,,,,,,,,,
,736-212,MODERN DEDUCTIVE LOGIC,3,U,; (HU) PREREQ: GRADE C OR BETTER IN PHILOS 211(P),e,Se 001,MW,5:30pm,6:45pm,AUP,179,Liston,,
,736-232,TOPICS IN PHILOSOPHY:,3,U,; (HU) RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. PREREQ: NONE,,Se 001,TR,11:05am,12:20pm,MER,G47,Atherton,TOPIC: THE CLAIMS OF EDUCATION,
,736-237,"TECHNOLOGY, VALUES, AND SOCIETY",3,U,; (HU) NOT OPEN TO STUDENTS W/CLT&TECH STUDIES 237. PREREQ: NONE,,Se 001,MWF,10:30am,,CRT,309,Mink,,
,736-241,INTRODUCTORY ETHICS,3,U,; (HU) PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-604,,,,,,,,,,
,736-244,ETHICAL ISSUES IN HEALTH CARE:,3,U,; (HU) RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. PREREQ: NONE,e,Se 101,T,6:15pm,8:55pm,OFC,SMIC,"Hedman, N","TOPIC: CONTEMPORARY PROBLEMS  ST MICHAEL HOSPITAL, 2400 W VILLARD, FRANCISCAN RM",
,736-245,CRITICAL THINKING AND THE LAW:,3,U,; (HU) RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. PREREQ: NONE,e,Se 101,W,6:15pm,8:55pm,OFC,UCCE,Santilli,"TOPIC: LAW OF TORTS  U.C.C.E, 161 W. WISCONSIN AVE, RM 6000",
,736-250,PHILOSOPHY OF RELIGION,3,U,; (HU) PREREQ: NONE,,Se 001,TR,12:30pm,1:45pm,CRT,309,Mondadori,,
,736-271,PHILOSOPHICAL TRADITIONS:,3,U,; (HU) RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. PREREQ: NONE,,Se 001,MWF,11:30am,,END,177,Boatman,TOPIC: (HU&) WESTERN GREAT LAKES AMERICAN INDIAN PHILOSOPHY  WOMEN'S STUDIES COURSE,
,736-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,156-403,THE HUMAN SKELETON,3,U/G,; (NS) PREREQ: JR ST; ANTHRO 301(R) OR CONS INSTR ; (502) ;,e,Se 001,T,5:30pm,8:10pm,BOL,277,Anapol,,
,736-324,PHILOSOPHY OF SCIENCE,3,U/G,; ; PREREQ: JR ST & 3 CR IN PHILOS,,Se 001,TR,11:05am,12:20pm,BOL,B87,Schwartz,,
,736-355,POLITICAL PHILOSOPHY,3,U/G,; ; PREREQ: JR ST & PHILOS 242(P) OR A COURSE IN ETHICS,,Se 001,TR,2:05pm,3:20pm,CRT,309,Wainwright,,
,736-430,HISTORY OF ANCIENT PHILOSOPHY,3,U/G,; ; SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST & 3 CR IN PHILOS,e,Se 001,TR,4:30pm,5:45pm,BOL,B87,Mondadori,,
,736-438,PROBLEMS IN MARXISM,3,U/G,; ; SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST & 3 CR IN PHILOS OR ECON,,Se 001,TR,12:30pm,1:45pm,CRT,607,Sensat,,
,736-475,SPECIAL TOPICS IN INDIAN RELIGIOUS THOUGHT:,3,U/G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST; 3 CR IN PHILOS,,Se 001,TR,3:30pm,4:45pm,CRT,309,Neevel,TOPIC: VEDANTA AND THE BHAGAVAD GITA,
,736-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,736-522,SPECIAL TOPICS IN THE PHILOSOPHY OF SCIENCE:,3,U/G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: JR ST,,Se 002,T,1:45pm,4:25pm,CRT,607,Schwartz,"TOPIC: MINDS, THOUGHT AND MEMTALITY",
,736-532,PHILOSOPHICAL PROBLEMS:,3,U/G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: JR ST & 3 CR IN PHILOS,,,,,,,,,,
,736-681,SEMINAR IN ADVANCED TOPICS:,3,U/G,"; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: 12 CR IN PHILOS AT 300-LEVEL OR ABOVE, & CONS INSTR",,Se 001,W,2:30pm,5:10pm,CRT,607,Atherton,TOPIC: HUME,
,736-712,FUNDAMENTALS OF FORMAL LOGIC,3,G,; ; PREREQ: GRAD ST,e,Se 001,MW,5:30pm,6:45pm,AUP,179,Liston,,
,156-440,MEDICAL ANTHROPOLOGY,3,U/G,; ; SATISFIES L&S WRITING-INTENSIVE REQUIREMENT. PREREQ: JR ST; ANTHRO 102(P); GRADE OF C OR BETTER IN ENGLISH 102(P) OR SCORE OF 637 OR HIGHER ON EPT,e,Se 001,W,5:30pm,8:10pm,EMS,E220,Cargill,,
,736-758,SEMINAR IN MAJOR PHILOSOPHERS:,3,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST; CONS INSTR,,Se 001,M,2:30pm,5:10pm,CRT,607,Gendron,TOPIC: FOUCAULT,
+,740-353,PHYSICAL EDUCATION IN THE ELEMENTARY SCHOOLS,2,U,; ; PREREQ: JR ST; ADMIS TO SCHOOL OF EDUC. NOT OPEN TO MAJORS IN PHY ED,,,,,,,,,,
+,740-414,ELEMENTARY SCHOOL HEALTH EDUCATION,2,U,; ; PREREQ: JR ST; ADMIS TO SCHOOL OF EDUC,,,,,,,,,,
,754-100,PREPARATION FOR PHYSICS,3@,U,"; ; 2 CR; FEE FOR 3 CR ASSESSED. STUDENT'S SCHEDULE WILL SHOW 3 CR; THIS WILL BE CHANGED TO 2 CR FOR GRADE REPORT & PERMANENT RECORD. NOT OPEN TO STUDENTS W/CR IN PHYSICS 110(ER), 120(ER), 209(ER), OR 219(ER). PREREQ: MATH PLACEMENT LEVEL D",,Se 001,MWF,9:30am,,PHY,143,Gordon,,
,754-107,PHYSICS IN EVERYDAY LIFE,3,U,"; (NS) NOT OPEN TO STUDENTS WITH FR SEM 160 OR PHYSICS 120(ER), 209(ER), OR 219(207)(ER). PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-606; OR ENROL IN LC 402 & ANY DS 607-613",,,,,,,,,,
,754-108,LABORATORY FOR PHYSICS IN EVERYDAY LIFE,1,U,; (NS+) PREREQ: PHYSICS 107(C),,,,,,,,,,
,754-110,PHYSICS FOR THE HEALTH PROFESSIONS,3,U,"; (NS) NOT OPEN TO STUDENTS WHO HAVE HAD PHYSICS 120(ER), 209(ER), OR 219(207)(ER). PREREQ: HIGH SCHOOL GENERAL SCIENCE; & MATH PLACEMENT LEVEL C",,Se 001,MWF,8:30am,,PHY,135,Gordon,,
,754-120,GENERAL PHYSICS I (NON-CALCULUS TREATMENT),4,U,"; (NS) ANY COMBINATION OF PHYSICS 120, 121, 209, 214, 219 CARRIES MAX 5 CR TOWARD GRADUATION. PREREQ: MATH PLACEMENT LEVEL C; HS TRIG OR PHYSICS 100 STRONGLY RECOM ; ; ENROL IN LC 401 & ANY DS 601-603; OR ENROL IN LC 402 & ANY DS 605-608; OR ENROL IN LC 403 & DS 609",,,,,,,,,,
,754-121,GENERAL PHYSICS LABORATORY I (NON-CALCULUS TREATMENT),1,U,"; (NS+) ANY COMBINATION OF PHYSICS 120, 121, 209, 214, 219 CARRIES 5 CR MAX TOWARD GRADUATION. PREREQ: PHYSICS 120(C)",,,,,,,,,,
,754-122,GENERAL PHYSICS II (NON-CALCULUS TREATMENT),4,U,"; (NS) ANY COMBINATION OF PHYSICS 122, 123, 210, 215, 220 CARRIES 5 CR MAX TOWARD GRADUATION. PREREQ: PHYSICS 120(NP) ; ; ENROL IN LC 401 & ANY DS 601-603",,,,,,,,,,
,156-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
#,754-123,GENERAL PHYSICS LABORATORY II (NON-CALCULUS TREATMENT),1,U,"; (NS+) ANY COMBINATION OF PHYSICS 122, 123, 210, 215, 220 CARRIES 5 CR MAX TOWARD GRADUATION. PREREQ: PHYSICS 122(C)",,,,,,,,,,
,754-209,PHYSICS I (CALCULUS TREATMENT),4,U,"; (NS) COUNTS AS REPEAT OF 4 CR PHYSICS 219. ANY COMBINATION OF PHYSICS 120, 121, 209, 214, 219 CARRIES MAX 5 CR TOWARD GRADUATION. PREREQ: MATH 227(C), 228(C), OR 232(C) ; ; ENROL IN LC 401 & EITHER DS 601 OR 602; OR ENROL IN LC 402 & ANY DS 603-606; OR ENROL IN LC 403 & DS 607. STUDENTS WHO HAVE TAKEN MATH 231 ARE DISCOURAGED FROM TAKING LC 401.",,,,,,,,,,
,754-210,PHYSICS II (CALCULUS TREATMENT),4,U,"; (NS) COUNTS AS REPEAT OF 4 CR PHYSICS 220. ANY COMBINATION OF PHYSICS 122, 123, 210, 215, 220 CARRIES MAX 5 CR TOWARD GRADUATION. PREREQ: PHYSICS 209(NP) OR 219(NP); MATH 229(C) OR 233(C) ; ; ENROL IN LC 401 & ANY DS 601-604",,,,,,,,,,
#,754-214,LAB PHYSICS I (CALCULUS TREATMENT),1,U,"; (NS+) COUNTS AS REPEAT OF 1 CR PHYSICS 219. ANY COMBINATION OF PHYSICS 120, 121, 209, 214, 219 CARRIES 5 CR MAX TOWARD GRADUATION. PREREQ: PHYSICS 209(C)",,,,,,,,,,
#,754-215,LAB PHYSICS II (CALCULUS TREATMENT),1,U,"; (NS+) COUNTS AS REPEAT OF 1 CR PHYSICS 220. ANY COMBINATION OF PHYSICS 122, 123, 210, 215, 220 CARRIES 5 CR MAX TOWARD GRADUATION. PREREQ: PHYSICS 210(C)",,La 802,W,1:30pm,4:20pm,PHY,241,Sarma Chaudhuri,,
,754-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHANGE IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,754-309,PHYSICS III: MODERN PHYSICS,3,U,; (NS+) NOT OPEN FOR CR TO STUDENTS WHO HAVE HAD PHYSICS 341. PREREQ: PHYSICS 210(NP) OR 220(NP); MATH 233(C) ; (221) ;,,Se 001,MWF,12:30pm,,PHY,226,Gaffney,,
,754-317,THERMODYNAMICS,3,U,; (417) PREREQ: JR ST; PHYSICS 209(NP) OR 219(NP) & MATH 233(P),,Se 001,MWF,10:30am,,PHY,146,Yakovlev,,
,754-361,SHORT COURSE PHYSICS,2-Jan,U,"; ; PREREQ: PHYSICS 210(P) OR 220(P) & ADD'L COURSES, AS APPROPRIATE TO THE TOPIC BEING TAUGHT",,,,,,,,,,
,754-370,COMPUTATIONAL PHYSICS,3,U,; ; PREREQ: PHYSICS 309(221)(P); MATH 234(P) OR ELECENG 234(P); PHYSICS 270(260)(P) OR COMPSCI 151(P),,Se 001,TR,11:30am,1:20pm,PHY,223,Parker Johnson,,
#,216-360,PRINCIPLES OF MARKETING,3,U,; ; PREREQ: JR ST; ECON 104(P) ; ; ENROL IN LC 401 & ANY DS 601-608; OR ENROL IN LC 402 & EITHER DS 609 OR 610,,,,,,,,,,
,156-499,AD HOC,6-Jan,U,; ; RETAKABLE W/CHG IN TOPIC. PREREQ: JR ST,,Se 004,MW,9:30am,10:45am,BOL,768B,Ajirotutu,TOPIC: BUZZWORDS,
,754-411,MECHANICS,4,U/G,"; ; PREREQ: JR ST; PHYSICS 210(NP) OR 220(NP); PHYSICS 270(260)(P), 370(P), OR EQUIV",,Se 001,MWF R,8:30am  9:30am,11:20am,PHY,146 PHY,Snider,,
,754-441,QUANTUM PHYSICS I,4,U/G,; ; PREREQ: JR ST; PHYSICS 309(221)(NP); MATH 321(C),,Se 001,MWF W,9:30am  2:30pm,,PHY,146 PHY,Lyman,,
,754-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,754-499,AD HOC,6-Jan,U,; ; RETAKABLE W/CHG IN TOPIC. PREREQ: JR ST,,Se 001,TR,2:05pm,3:20pm,PHY,151,Hirschmugl,"TOPIC: INTRODUCTION: INFRARED MICROSPECTROSCOPY  3 CR  MANDATORY FIELD TRIP TO STOUGHTON, WI FOR WHICH FEE WILL BE ASSESSED  PREREQ: BIO SCI 150/152 OR CHEM 117/118 OR CHEM 102/104 OR PHYSIC 209/210",
,754-501,SPECIAL TOPICS-MATHEMATICAL MODELS OF PHYSICAL PROBLEMS,3,U/G,"; ; PREREQ: JR ST; PHYSICS 208(P) OR 210(P), & MATH 322(P)",,Se 001,MWF,12:30pm,,PHY,146,Allen,,
,754-531,INTRODUCTION TO QUANTUM MECHANICS,3,U/G,; ; PREREQ: JR ST; PHYSICS 441(P) & DIFFERENTIAL EQUATIONS,,Se 001,MWF,9:30am,,PHY,226,Agterberg,,
,754-551,INTRODUCTION TO SOLID STATE PHYSICS I,3,U/G,; ; PREREQ: JR ST; PHYSICS 427(P) & 421(P),,Se 001,MWF,11:30am,,PHY,146,Sarma,,
,754-575,VACUUM SCIENCE AND TECHNOLOGY,3,U/G,; ; PREREQ: JR ST & PHYSICS 341(P) OR 441(P),,Se 001,MWF,1:30pm,,PHY,146,Li,,
,754-610,THE ART AND SCIENCE OF TEACHING PHYSICS,1,U/G,; ; PREREQ: APPT AS UNDERGRAD TA OR GRAD ST,,Se 001,TR,1:30pm,2:45pm,PHY,146,Pauli,,
,754-711,THEORETICAL PHYSICS-DYNAMICS,3,G,; ; PREREQ: GRAD ST; MATH 321(C) OR 322(C); OR 701(C) OR 702(C),,Se 001,MWF,10:30am,,PHY,226,Snider,,
,156-543,CROSS-CULTURAL STUDY OF RELIGION,3,U/G,; ; PREREQ: JR ST,,Se 001,TR,12:30pm,1:45pm,BOL,B83,Hansen,,
,754-900,COLLOQUIUM,1,G,; ; PREREQ: GRAD ST,,Se 001,F,3:00pm,3:50pm,PHY,152,Agterberg,,
,754-903,SEMINAR IN THEORETICAL PHYSICS,3-Jan,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST & CONS INSTR,,Se 001,F,12:30pm,2:30pm,PHY,481,Lubkin,TOPIC: CURRENT TOPICS IN GRAVITATIONAL PHYSICS  1 CR,
,754-904,SEMINAR IN SURFACE STUDIES:,3-Jan,G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. PREREQ: GRAD ST; CONS INSTR,,Se 001,TR,2:05pm,3:20pm,PHY,151,Hirschmugl,TOPIC: INTRODUCTION TO INFRARED MICROSPECTROSCOPY  3 CR,
,774-236,POLISH CULTURE IN ITS HISTORICAL SETTING,3,U,; (HU) MAY BE USED TO REPEAT GEOG 236. PREREQ: NONE,,Se 001,MWF,8:30am,,CRT,839,Mikos,,
,774-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,774-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/CHG IN TOPIC. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,778-103,INTRODUCTION TO POLITICAL SCIENCE,3,U,; (SS) PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-608,,,,,,,,,,
,778-104,INTRODUCTION TO AMERICAN GOVERNMENT AND POLITICS,3,U,; (SS) PREREQ: NONE ; ; ENROL IN LC 401 & ANY DS 601-608; OR ENROL IN LC 402 ONLY,,,,,,,,,,
,778-105,STATE POLITICS,3,U,; (SS) PREREQ: NONE,,Se 001,TR,9:30am,10:45am,BOL,B52,Ihrke,,
,778-106,POLITICS OF THE WORLD'S NATIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE,,Se 001,TR,12:30pm,1:45pm,BOL,B60,Handelman,,
,156-566,ARCHAEOLOGICAL ANALYSIS AND REPORT PREPARATION,3or6,U/G,; ; RETAKEABLE TO MAX OF 9 CR. PREREQ: JR ST; PREVIOUS ARCHAEOLOGY COURSE,e,Se 001,M,5:30pm,8:10pm,BOL,B83,Jeske,,
,778-175,INTRODUCTION TO INTERNATIONAL RELATIONS,3,U,; (SS) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: NONE,,,,,,,,,,
,778-193,FRESHMAN SEMINAR:,3,U,; (SS) OPEN FOR CR & ENROL TO FRESHMEN ONLY. RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: NONE,,,,,,,,,,
,778-215,"ETHNICITY, RELIGION AND RACE IN AMERICAN POLITICS",3,U,; (SS&) PREREQ: NONE ; (474) ;,,Se 001,TR,9:30am,10:45am,BOL,B60,Pienkos,,
,778-243,PUBLIC ADMINISTRATION,3,U,; (SS) PREREQ: NONE,,Se 001,MWF,10:30am,,BOL,B84,Hatch,,
,778-250,LAW AND SOCIETY,3,U,; ; PREREQ: SOPH ST OR ONE COURSE IN POL SCI,e,Se 001,TR,4:30pm,5:45pm,BOL,B56,Esenberg,,
,778-297,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/TOPIC CHG. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
,778-310,POLITICS OF THE SOVIET UNION AND ITS SUCCESSOR STATES,3,U/G,; ; SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST,,Se 001,TR,2:30pm,3:45pm,BOL,B95,Pienkos,,
,778-320,POLITICS OF DEVELOPING COUNTRIES,3,U/G,; ; SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST,,Se 001,TR,11:05am,12:20pm,BOL,609,Van Dyke,,
,778-325,LATIN AMERICAN POLITICS,3,U/G,; (630) SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST,,Se 001,TR,9:30am,10:45am,PHY,120,Handelman,,
,778-365,THEORIES AND METHODS IN INTERNATIONAL POLITICS,3,U/G,; ; PREREQ: JR ST,,Se 001,MWF,9:30am,,BOL,B79,Heo,,
,156-568,INTRODUCTION TO ANTHROPOLOGICAL STATISTICS,3,U/G,; ; PREREQ: JR ST; PREVIOUS ANTHRO COURSE OR CONS INSTR,,Se 001,MW,1:30pm,2:45pm,BOL,768B,Gray,,
,778-370,INTERNATIONAL CONFLICT,3,U/G,; ; SATISFIES L&S INTERNATIONAL REQUIREMENT. PREREQ: JR ST,,Se 001,TR,11:05am,12:20pm,BOL,B60,Garnham,,
#,778-380,HONORS SEMINAR:,3H,U,; (SS) RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: SOPH ST; CONS HONORS PROG DIRECTOR,,Se 001,TR,9:30am,10:45am,GAR,304,Nardin,TOPIC: POLITICAL THOUGHT FROM HOMER TO MACHIAVELLI  C/NC IS NOT PERMITTED,
,778-382,MODERN POLITICAL THOUGHT,3,U/G,; (502) PREREQ: JR ST,,Se 001,TR,11:05am,12:20pm,MER,347,Browne,,
,778-385,AMERICAN POLITICAL THOUGHT,3,U/G,; (565) PREREQ: JR ST,e,Se 001,W,6:30pm,9:10pm,HLT,180,Meckstroth,,
,778-386,CONTEMPORARY POLITICAL THEORY,3,U/G,; ; PREREQ: JR ST,,Se 001,TR,8:05am,9:20am,BUS,S233,Nardin,,
,778-411,CONSTITUTIONAL LAW: GOVERNMENT POWERS AND FEDERALISM,3,U/G,; ; PREREQ: JR ST,,Se 001,MWF,11:30am,,BOL,B40,Krishnan,,
,778-412,CONSTITUTIONAL LAW: CIVIL RIGHTS AND LIBERTIES,3,U/G,; ; PREREQ: JR ST,e,Se 001,M,6:30pm,9:10pm,BOL,B40,Daniels,,
,778-419,CONSTITUTIONAL INTERPRETATION,3,U/G,; ; PREREQ: POL SCI 411(P) OR 412(P),,Se 001,TR,12:30pm,1:45pm,AUP,179,Krishnan,,
,778-444,POLITICS AND THE BUREAUCRACY,3,U/G,; ; PREREQ: JR ST,,Se 001,TR,11:05am,12:20pm,BOL,B92,Faculty,,
,778-471,PROBLEMS IN LAW STUDIES:,3,U/G,; ; RETAKABLE W/CHG IN TOPIC TO 6 CR MAX. PREREQ: JR ST,,Se 002,TR,2:05pm,3:20pm,BOL,B84,Weber,TOPIC: THE CONSTITUTION AND THE U.S. ELECTORAL LAWS,
,156-641,SEMINAR IN ANTHROPOLOGY:,3-Feb,U/G,; ; RETAKABLE W/CHG IN TOPIC TO 9 CR MAX. SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: JR ST & MAJOR IN ANTHRO; OR GRAD ST,,,,,,,,,,
,778-497,STUDY ABROAD,12-Jan,U,"; ; RETAKABLE W/TOPIC CHG. PREREQ: ACCEPTANCE FOR STUDY ABROAD PROG ; ; STUDY ABROAD REQUIRES ACCEPTANCE IN UWM-SPONSORED PROG. CONTACT L&S OVERSEAS PROG, GAR 107, 229-5182",,Se 101,,To be Arranged,,,,Faculty,,
#+,778-500,CAPSTONE SEMINAR IN POLITICAL SCIENCE,3,U,; ; SATISFIES L&S SEMINAR REQUIREMENT. PREREQ: SR ST,,Se 001,T,1:30pm,4:10pm,BOL,B79,Ethridge,,
,778-630,BUDGETING AND FINANCE IN THE PUBLIC SECTOR,3,U/G,; ; JOINTLY-OFFERED W/ & REPEAT OF URBPLAN 630. PREREQ: SR ST OR CONS INSTR,e,Se 001,R,6:30pm,9:10pm,BOL,B79,Faculty,,
,778-700,SCOPE AND METHODS OF POLITICAL SCIENCE I,3,G,; (875) PREREQ: GRAD ST,e,Se 001,R,4:30pm,7:10pm,BOL,B76,Ethridge,,
,778-701,TECHNIQUES OF POLITICAL SCIENCE RESEARCH,3,G,; (817) PREREQ: GRAD ST; ONE UNDERGRAD STATS COURSE OR CONS INSTR,e,Se 001,T,4:30pm,7:10pm,BOL,293,Holbrook,,
,778-720,THEORETICAL AND METHODOLOGICAL ISSUES OF COMPARATIVE POLITICS,3,G,; ; PREREQ: GRAD ST; POL SCI 702(P),e,Se 001,T,4:30pm,7:10pm,BOL,B76,Browne,,
,778-750,SEMINAR IN THE STUDY OF AMERICAN POLITICAL BEHAVIOR,3,G,; ; PREREQ: GRAD ST,,Se 001,R,1:30pm,4:10pm,BOL,B76,Holbrook,,
,778-763,SCOPE AND DYNAMICS OF PUBLIC ADMINISTRATION,3,G,; ; PREREQ: GRAD ST,e,Se 001,W,6:30pm,9:10pm,BOL,B76,Ihrke,,
,778-789,THEORY AND ROLE OF NONPROFIT ORGANIZATIONS,3,G,; ; PREREQ: GRAD ST,e,Se 001,T,4:30pm,7:10pm,BOL,B79,Lee,,
,778-921,PUBLIC SERVICE ADMINISTRATIVE INTERNSHIP,3,G,; ; PREREQ: GRAD ST; CONS INSTR,,Se 001,W,3:30pm,5:20pm,BOL,B84,Hatch,,
,156-720,HISTORY AND THEORY OF MUSEUMS,3,G,; (620) PREREQ: GRAD ST; CONS INSTR,,Se 101,T,1:30pm,4:10pm,OFC,MUSM,Scher-Thomae,"MILWAUKEE PUBLIC MUSEUM, 800 W WELLS ST",
